"","date_time","site","year","event","watershed","flow","sampleID"
"1",2016-05-19 13:15:00,NA,NA,NA,"armctl",NA,"1008"
"2",2018-09-01 04:35:00,NA,NA,NA,"mcnayctl",NA,"3049"
"3",2018-09-07 09:45:00,NA,NA,NA,"mcnayctl",NA,"3057"
"4",2018-09-01 04:25:00,NA,NA,NA,"mcnaytrt",NA,"3050"
"5",2018-09-05 15:20:00,NA,NA,NA,"mcnaytrt",NA,"3058"
"6",2016-09-15 21:35:00,NA,NA,NA,"rhodesctl",NA,"1028"
"7",2016-09-09 08:45:00,NA,NA,NA,"spiritctl",NA,"SPL1050"
"8",2016-09-15 12:55:00,NA,NA,NA,"spiritctl",NA,"SPL1051"
"9",2017-08-21 12:45:00,NA,NA,NA,"spiritctl",NA,"SPL2054"
"10",2018-09-04 11:50:00,NA,NA,NA,"spiritctl",NA,"SPL3309"
"11",2018-09-18 07:35:00,NA,NA,NA,"spiritctl",NA,"SPL3310"
"12",2018-09-20 02:55:00,NA,NA,NA,"spirittrt",NA,"SPL3311"
"13",2018-06-06 18:10:00,NA,NA,NA,"worlectl",NA,"3010"
"14",2018-08-16 11:55:00,NA,NA,NA,"worlectl",NA,"3044"
"15",2018-08-16 11:50:00,NA,NA,NA,"worletrt",NA,"3043"
