"","sampleID","no3mgL","site","position","month","year","drpmgL","trt","pos","order"
"1",4200,14.5129,"ARM",NA,"Dec.","2015",NA,"CTL","CTL-NA","Dec."
"2",4201,9.6225,"ARM","Top","Dec.","2015",NA,"TRT","TRT-Top","Dec."
"3",4202,2.7979,"ARM","Bot","Dec.","2015",NA,"TRT","TRT-Bot","Dec."
"4",4203,0.0744,"EIA",NA,"Dec.","2015",NA,"CTL","CTL-NA","Dec."
"5",4204,0.0452,"EIA","Top","Dec.","2015",NA,"TRT","TRT-Top","Dec."
"6",4205,0.0962,"EIA","Bot","Dec.","2015",NA,"TRT","TRT-Bot","Dec."
"7",4207,9.8786,"GUT","Bot","Dec.","2015",NA,"TRT","TRT-Bot","Dec."
"8",4208,3.4031,"RHO",NA,"Dec.","2015",NA,"CTL","CTL-NA","Dec."
"9",4211,0.7517,"WOR",NA,"Dec.","2015",NA,"CTL","CTL-NA","Dec."
"10",4212,0.8545,"WOR","Top","Dec.","2015",NA,"TRT","TRT-Top","Dec."
"11",4213,0.8611,"WOR","Bot","Dec.","2015",NA,"TRT","TRT-Bot","Dec."
"12",5014,14.1029,"ARM",NA,"Apr.","2016",NA,"CTL","CTL-NA","Apr."
"13",5015,9.0837,"ARM","Top","Apr.","2016",NA,"TRT","TRT-Top","Apr."
"14",5016,5.4316,"ARM","Bot","Apr.","2016",NA,"TRT","TRT-Bot","Apr."
"15",5017,0.1201,"EIA",NA,"Apr.","2016",NA,"CTL","CTL-NA","Apr."
"16",5018,0.4601,"EIA","Top","Apr.","2016",NA,"TRT","TRT-Top","Apr."
"17",5019,0.3727,"EIA","Bot","Apr.","2016",NA,"TRT","TRT-Bot","Apr."
"18",5022,3.9416,"RHO",NA,"Apr.","2016",NA,"CTL","CTL-NA","Apr."
"19",5023,2.9326,"RHO","Top","Apr.","2016",NA,"TRT","TRT-Top","Apr."
"20",5024,5.6221,"RHO","Bot","Apr.","2016",NA,"TRT","TRT-Bot","Apr."
"21",5025,0.7022,"WOR",NA,"Apr.","2016",NA,"CTL","CTL-NA","Apr."
"22",5026,3.2518,"WOR","Top","Apr.","2016",NA,"TRT","TRT-Top","Apr."
"23",5027,3.0027,"WOR","Bot","Apr.","2016",NA,"TRT","TRT-Bot","Apr."
"24",5028,13.0261,"ARM",NA,"May","2016",NA,"CTL","CTL-NA","May"
"25",5029,9.5536,"ARM","Top","May","2016",NA,"TRT","TRT-Top","May"
"26",5030,4.2988,"ARM","Bot","May","2016",NA,"TRT","TRT-Bot","May"
"27",5031,0.1119,"EIA",NA,"May","2016",NA,"CTL","CTL-NA","May"
"28",5032,0.3065,"EIA","Top","May","2016",NA,"TRT","TRT-Top","May"
"29",5033,0.348,"EIA","Bot","May","2016",NA,"TRT","TRT-Bot","May"
"30",4206,7.9682,"GUT","Top","Dec.","2015",NA,"TRT","TRT-Top","Dec."
"31",5036,4.8029,"RHO",NA,"May","2016",NA,"CTL","CTL-NA","May"
"32",5037,3.0736,"RHO","Top","May","2016",NA,"TRT","TRT-Top","May"
"33",5038,5.691,"RHO","Bot","May","2016",NA,"TRT","TRT-Bot","May"
"34",5039,0.653,"WOR",NA,"May","2016",NA,"CTL","CTL-NA","May"
"35",5040,7.193,"WOR","Top","May","2016",NA,"TRT","TRT-Top","May"
"36",5041,3.6835,"WOR","Bot","May","2016",NA,"TRT","TRT-Bot","May"
"37",5042,10.5983,"ARM",NA,"June","2016",NA,"CTL","CTL-NA","June"
"38",5043,9.216,"ARM","Top","June","2016",NA,"TRT","TRT-Top","June"
"39",5044,3.8983,"ARM","Bot","June","2016",NA,"TRT","TRT-Bot","June"
"40",5045,0.3552,"EIA",NA,"June","2016",NA,"CTL","CTL-NA","June"
"41",5046,0.5147,"EIA","Top","June","2016",NA,"TRT","TRT-Top","June"
"42",5047,0.3849,"EIA","Bot","June","2016",NA,"TRT","TRT-Bot","June"
"43",5048,6.7262,"GUT","Top","June","2016",NA,"TRT","TRT-Top","June"
"44",5049,9.0621,"GUT","Bot","June","2016",NA,"TRT","TRT-Bot","June"
"45",5050,2.9148,"RHO",NA,"June","2016",NA,"CTL","CTL-NA","June"
"46",5051,5.6995,"RHO","Top","June","2016",NA,"TRT","TRT-Top","June"
"47",5052,5.8144,"RHO","Bot","June","2016",NA,"TRT","TRT-Bot","June"
"48",5053,0.5278,"WOR",NA,"June","2016",NA,"CTL","CTL-NA","June"
"49",5054,7.3253,"WOR","Top","June","2016",NA,"TRT","TRT-Top","June"
"50",5055,3.3802,"WOR","Bot","June","2016",NA,"TRT","TRT-Bot","June"
"51",5056,11.1103,"ARM",NA,"July","2016",NA,"CTL","CTL-NA","July"
"52",5057,10.9264,"ARM","Top","July","2016",NA,"TRT","TRT-Top","July"
"53",5058,4.3949,"ARM","Bot","July","2016",NA,"TRT","TRT-Bot","July"
"54",5059,0.3435,"EIA",NA,"July","2016",NA,"CTL","CTL-NA","July"
"55",5060,0.3663,"EIA","Top","July","2016",NA,"TRT","TRT-Top","July"
"56",5061,0.3043,"EIA","Bot","July","2016",NA,"TRT","TRT-Bot","July"
"57",5064,0.6536,"RHO",NA,"July","2016",NA,"CTL","CTL-NA","July"
"58",5065,2.9824,"RHO","Top","July","2016",NA,"TRT","TRT-Top","July"
"59",5066,5.3286,"RHO","Bot","July","2016",NA,"TRT","TRT-Bot","July"
"60",5067,2.908,"WOR",NA,"July","2016",NA,"CTL","CTL-NA","July"
"61",5068,3.1782,"WOR","Top","July","2016",NA,"TRT","TRT-Top","July"
"62",5069,2.6198,"WOR","Bot","July","2016",NA,"TRT","TRT-Bot","July"
"63",5070,11.8346,"ARM",NA,"Aug.","2016",NA,"CTL","CTL-NA","Aug."
"64",5071,10.8687,"ARM","Top","Aug.","2016",NA,"TRT","TRT-Top","Aug."
"65",5072,2.8046,"ARM","Bot","Aug.","2016",NA,"TRT","TRT-Bot","Aug."
"66",5073,0.1873,"EIA",NA,"Aug.","2016",NA,"CTL","CTL-NA","Aug."
"67",5074,0.3156,"EIA","Top","Aug.","2016",NA,"TRT","TRT-Top","Aug."
"68",5075,0.1848,"EIA","Bot","Aug.","2016",NA,"TRT","TRT-Bot","Aug."
"69",5078,3.232,"RHO",NA,"Aug.","2016",NA,"CTL","CTL-NA","Aug."
"70",5079,5.0684,"RHO","Top","Aug.","2016",NA,"TRT","TRT-Top","Aug."
"71",5080,5.9175,"RHO","Bot","Aug.","2016",NA,"TRT","TRT-Bot","Aug."
"72",5081,0.4559,"WOR",NA,"Aug.","2016",NA,"CTL","CTL-NA","Aug."
"73",5082,3.0695,"WOR","Top","Aug.","2016",NA,"TRT","TRT-Top","Aug."
"74",5083,3.3326,"WOR","Bot","Aug.","2016",NA,"TRT","TRT-Bot","Aug."
