"","year","month","site","trt","pos","date.measured","uncorrecteddepthft","wellid","abovegroundin","adjdepthft","negadjdepthft","order"
"1",2016,"Aug.","WOR","TRT","Top","8/11/2016",6.91,"WORTRTTop",0,6.91,-6.91,"Aug."
"2",2016,"Aug.","EIA","TRT","Bot","8/8/2016",3.57,"EIATRTBot",0.5,3.53,-3.53,"Aug."
"3",2016,"Aug.","EIA","TRT","Top","8/8/2016",4.4,"EIATRTTop",1,4.32,-4.32,"Aug."
"4",2016,"Aug.","EIA","CTL","Bot","8/8/2016",4.11,"EIACTLBot",1.5,3.99,-3.99,"Aug."
"5",2016,"Aug.","RHO","TRT","Top","8/8/2016",3.32,"RHOTRTTop",5,2.9,-2.9,"Aug."
"6",2016,"Aug.","RHO","TRT","Bot","8/8/2016",2.74,"RHOTRTBot",0,2.74,-2.74,"Aug."
"7",2016,"Aug.","RHO","CTL","Bot","8/8/2016",2.23,"RHOCTLBot",2,2.06,-2.06,"Aug."
"8",2016,"Aug.","WOR","TRT","Bot","8/10/2016",6.45,"WORTRTBot",2,6.28,-6.28,"Aug."
"9",2016,"Aug.","WOR","CTL","Bot","8/10/2016",4.55,"WORCTLBot",1.5,4.42,-4.42,"Aug."
"10",2016,"Aug.","ARM","TRT","Top","8/10/2016",4.85,"ARMTRTTop",2.5,4.64,-4.64,"Aug."
"11",2016,"Aug.","ARM","TRT","Bot","8/10/2016",5.1,"ARMTRTBot",4,4.77,-4.77,"Aug."
"12",2016,"Aug.","ARM","CTL","Bot","8/10/2016",6.55,"ARMCTLBot",0,6.55,-6.55,"Aug."
"13",2016,"July","ARM","TRT","Top","7/21/2016",4.22,"ARMTRTTop",2.5,4.01,-4.01,"July"
"14",2016,"July","ARM","TRT","Bot","7/21/2016",4.45,"ARMTRTBot",4,4.12,-4.12,"July"
"15",2016,"July","ARM","CTL","Bot","7/21/2016",0.66,"ARMCTLBot",0,0.66,-0.66,"July"
"16",2016,"July","RHO","TRT","Top","7/20/2016",2.37,"RHOTRTTop",5,1.95,-1.95,"July"
"17",2016,"July","RHO","TRT","Bot","7/20/2016",1.41,"RHOTRTBot",0,1.41,-1.41,"July"
"18",2016,"July","RHO","CTL","Bot","7/20/2016",0.58,"RHOCTLBot",2,0.41,-0.41,"July"
"19",2016,"July","WOR","TRT","Bot","7/20/2016",5.98,"WORTRTBot",2,5.81,-5.81,"July"
"20",2016,"July","WOR","TRT","Top","7/20/2016",6.65,"WORTRTTop",0,6.65,-6.65,"July"
"21",2016,"July","WOR","CTL","Bot","7/20/2016",3.62,"WORCTLBot",1.5,3.5,-3.5,"July"
"22",2016,"July","EIA","TRT","Bot","7/18/2016",3.72,"EIATRTBot",0.5,3.68,-3.68,"July"
"23",2016,"July","EIA","TRT","Top","7/18/2016",2.8,"EIATRTTop",1,2.72,-2.72,"July"
"24",2016,"July","EIA","CTL","Bot","7/18/2016",3.94,"EIACTLBot",1.5,3.82,-3.82,"July"
"25",2016,"June","GUT","TRT","Top","6/20/2016",3.92,"GUTTRTTop",0,3.92,-3.92,"June"
"26",2016,"June","GUT","TRT","Bot","6/20/2016",4.62,"GUTTRTBot",2,4.45,-4.45,"June"
"27",2016,"June","EIA","TRT","Bot","6/20/2016",3.9,"EIATRTBot",0.5,3.86,-3.86,"June"
"28",2016,"June","EIA","TRT","Top","6/20/2016",2.74,"EIATRTTop",1,2.66,-2.66,"June"
"29",2016,"June","EIA","CTL","Bot","6/20/2016",3.92,"EIACTLBot",1.5,3.8,-3.8,"June"
"30",2016,"June","RHO","TRT","Top","6/20/2016",2.83,"RHOTRTTop",5,2.41,-2.41,"June"
"31",2016,"June","RHO","TRT","Bot","6/20/2016",2.82,"RHOTRTBot",0,2.82,-2.82,"June"
"32",2016,"June","RHO","CTL","Bot","6/20/2016",1.74,"RHOCTLBot",2,1.57,-1.57,"June"
"33",2016,"June","ARM","TRT","Top","6/14/2016",3.95,"ARMTRTTop",2.5,3.74,-3.74,"June"
"34",2016,"June","ARM","TRT","Bot","6/14/2016",4.23,"ARMTRTBot",4,3.9,-3.9,"June"
"35",2016,"June","ARM","CTL","Bot","6/14/2016",1.82,"ARMCTLBot",0,1.82,-1.82,"June"
"36",2016,"June","WOR","TRT","Bot","6/14/2016",5.41,"WORTRTBot",2,5.24,-5.24,"June"
"37",2016,"June","WOR","TRT","Top","6/14/2016",6.02,"WORTRTTop",0,6.02,-6.02,"June"
"38",2016,"June","WOR","CTL","Bot","6/14/2016",2.96,"WORCTLBot",1.5,2.84,-2.84,"June"
"39",2016,"May","EIA","TRT","Bot","5/16/2016",3.85,"EIATRTBot",0.5,3.81,-3.81,"May"
"40",2016,"May","EIA","TRT","Top","5/16/2016",1.24,"EIATRTTop",1,1.16,-1.16,"May"
"41",2016,"May","EIA","CTL","Bot","5/16/2016",3.76,"EIACTLBot",1.5,3.63,-3.63,"May"
