bad,good
Arm.,ARM
guthrie,GUT
Rhodes,RHO
Worle,WOR
McNay,MCN
November,Nov.
December,Dec.
August,Aug.
Guthrie,GUT
Dec. 2015,Dec.
November,Nov.
August,Aug.
Toe-Top,Top
Toe-Bot,Bot
Spirit Lake,SPL
Whiterock,WHI
Sept. 2015,Sept.
top,Top
bot,Bot
trt,TRT
ctl,CTL
arm,ARM
white,WHI
spirit lake,SPL
rhodes,RHO
eia,EIA
mcnay,MCN
worle,WOR
CTL-Top,Top
CTL-Bot,Bot
TRT-Top,Top
TRT-Bot,Bot
Bottom,Bot
2,Feb.
3,Mar.
4,Apr.
5,May
6,June
7,July
8,Aug.
9,Sept.
10,Oct.
11,Nov.
12,Dec.
December,Dec.
March,Mar.
April,Apr.
spirit,SPL
EIA ,EIA
White,WHI
1,Jan.
Arm,ARM
marsh,MAR
