year,month,site,trt,pos,uncorrected depth (ft),date measured,
2020,1,arm,TRT,top,6.39,1/3/2020,
2020,1,arm,TRT,bot,6.91,1/3/2020,
2020,1,arm,CTL,bot,7.85,1/3/2020,
2020,1,mcnay,CTL,bot,0.26,1/7/2020,
2020,1,mcnay,TRT,bot,0.9,1/7/2020,
2020,1,rhodes,TRT,top,2.82,1/7/2020,
2020,1,rhodes,TRT,bot,2.11,1/7/2020,
2020,1,rhodes,CTL,bot,0.98,1/7/2020,
2020,1,spirit,CTL,top,3.53,1/2/2020,
2020,1,spirit,CTL,bot,4.62,1/2/2020,
2020,1,spirit,TRT,top,4.3,1/2/2020,
2020,1,spirit,TRT,bot,4.76,1/2/2020,
2020,1,white,TRT,top,9.75,1/8/2020,
2020,1,white,TRT,bot,14.76,1/8/2020,"no sample, water too low"
2020,1,white,CTL,bot,8.32,1/8/2020,"well 1.88 feet tall. field measurement was 10.03, so adjusted to the original well height of 2 inches"
2020,1,worle,TRT,bot,5.13,1/8/2020,
2020,1,worle,TRT,top,5.59,1/8/2020,
2020,1,worle,CTL,bot,2.75,1/8/2020,
2020,2,arm,TRT,top,7.41,2/6/2020,
2020,2,arm,TRT,bot,7.97,2/6/2020,
2020,2,arm,CTL,bot,9.43,2/6/2020,
2020,2,mcnay,CTL,bot,0,2/7/2020,water frozen at top of well. no sample collected
2020,2,mcnay,TRT,bot,0.76,2/7/2020,
2020,2,rhodes,TRT,top,2.91,2/11/2020,
2020,2,rhodes,TRT,bot,2.24,2/11/2020,
2020,2,rhodes,CTL,bot,1.34,2/11/2020,
2020,2,spirit,CTL,top,4.74,2/21/2020,
2020,2,spirit,CTL,bot,na,2/21/2020,forgot to measure before collecting sample
2020,2,spirit,TRT,top,5.22,2/21/2020,
2020,2,spirit,TRT,bot,5.09,2/21/2020,
2020,2,white,TRT,top,9.07,2/12/2020,
2020,2,white,TRT,bot,14.75,2/12/2020,not enough for sample
2020,2,white,CTL,bot,8.47,2/12/2020,"field measurement was 10.18, and adjusted to original 2 inch well height (still haven't cut off extra well height)"
2020,2,worle,TRT,bot,5.35,2/11/2020,
2020,2,worle,TRT,top,5.77,2/11/2020,
2020,2,worle,CTL,bot,2.86,2/11/2020,
2020,3,arm,TRT,top,7.52,3/2/2020,
2020,3,arm,TRT,bot,8.15,3/2/2020,
2020,3,arm,CTL,bot,10.83,3/2/2020,
2020,3,mcnay,CTL,bot,0,3/3/2020,water above ground level
2020,3,mcnay,TRT,bot,0.53,3/3/2020,
2020,3,rhodes,TRT,top,2.79,3/6/2020,
2020,3,rhodes,TRT,bot,2.02,3/6/2020,
2020,3,rhodes,CTL,bot,0.9,3/6/2020,
2020,3,spirit,CTL,top,3.06,3/13/2020,
2020,3,spirit,CTL,bot,3.21,3/13/2020,
2020,3,spirit,TRT,top,3.38,3/13/2020,
2020,3,spirit,TRT,bot,4.65,3/13/2020,
2020,3,white,TRT,top,10.2,3/5/2020,
2020,3,white,TRT,bot,14.77,3/5/2020,not enough for sample
2020,3,white,CTL,bot,10.86,3/5/2020,
2020,3,worle,TRT,bot,5.3,3/4/2020,
2020,3,worle,TRT,top,5.86,3/4/2020,
2020,3,worle,CTL,bot,3.21,3/4/2020,
2020,3,guthrie,TRT,top,4.13,3/4/2020,
2020,3,guthrie,TRT,bot,4.22,3/4/2020,
2020,4,arm,TRT,top,4.72,4/2/2020,
2020,4,arm,TRT,bot,5.58,4/2/2020,
2020,4,arm,CTL,bot,4.58,4/2/2020,
2020,4,mcnay,CTL,bot,0.36,4/1/2020,
2020,4,mcnay,TRT,bot,0.88,4/1/2020,
2020,4,rhodes,TRT,top,2.78,4/1/2020,
2020,4,rhodes,TRT,bot,2.09,4/1/2020,
