2017 STRIPS GW Codes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
year,month,site,trt,position,Sample Source,Date,ID#,,,,,,,,,,,
2017,2,Arm.,trt,top,groundwater,Feb. 2017,6000,,,,,,,,,,,
2017,2,Arm.,trt,bot,groundwater,Feb. 2017,6001,,,,,,,,,,,
2017,2,Arm.,CTL,bot,groundwater,Feb. 2017,6002,,,,,,,,,,,
2017,2,EIA,CTL,bot,groundwater,Feb. 2017,6003,,,,,,,,,,,
2017,2,EIA,trt,bot,groundwater,Feb. 2017,6004,,,,,,,,,,,
2017,2,EIA,trt,top,groundwater,Feb. 2017,6005,,,,,,,,,,,
2017,2,McNay,CTL,bot,groundwater,Feb. 2017,6006,,,,,,,,,,,
2017,2,McNay,TRT,bot,groundwater,Feb. 2017,6007,,,,,,,,,,,
2017,2,Rhodes,CTL,bot,groundwater,Feb. 2017,6008,,,,,,,,,,,
2017,2,Rhodes,trt,top,groundwater,Feb. 2017,6009,,,,,,,,,,,
2017,2,Spirit Lake,trt,top,groundwater,Feb. 2017,6010,,,,,,,,,,,
2017,2,Spirit Lake,CTL,top,groundwater,Feb. 2017,6011,,,,,,,,,,,
2017,2,Spirit Lake,CTL,bot,groundwater,Feb. 2017,6012,,,,,,,,,,,
2017,2,White,CTL,bot,groundwater,Feb. 2017,6013,,,,,,,,,,,
2017,2,Worle,trt,bot,groundwater,Feb. 2017,6014,,,,,,,,,,,
2017,2,Worle,trt,top,groundwater,Feb. 2017,6015,,,,,,,,,,,
2017,2,Worle,CTL,bot,groundwater,Feb. 2017,6016,,,,,,,,,,,
2017,3,Arm.,trt,top,groundwater,March 2017,6017,,,,,,,,,,,
2017,3,Arm.,trt,bot,groundwater,March 2017,6018,,,,,,,,,,,
2017,3,Arm.,CTL,bot,groundwater,March 2017,6019,,,,,,,,,,,
2017,3,EIA,trt,bot,groundwater,March 2017,6020,,,,,,,,,,,
2017,3,EIA,trt,top,groundwater,March 2017,6021,,,,,,,,,,,
2017,3,EIA,CTL,bot,groundwater,March 2017,6022,,,,,,,,,,,
2017,3,Guthrie,trt,bot,groundwater,March 2017,6023,,,,,,,,,,,
2017,3,Guthrie,trt,top,groundwater,March 2017,6024,,,,,,,,,,,
2017,3,McNay,CTL,bot,groundwater,March 2017,6025,,,,,,,,,,,
2017,3,McNay,TRT,bot,groundwater,March 2017,6026,,,,,,,,,,,
2017,3,Rhodes,trt,top,groundwater,March 2017,6027,,,,,,,,,,,
2017,3,Rhodes,trt,bot,groundwater,March 2017,6028,,,,,,,,,,,
2017,3,Rhodes,CTL,bot,groundwater,March 2017,6029,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2017,3,Spirit Lake,CTL,top,groundwater,March 2017,6031,,,,,,,,,,,
2017,3,Spirit Lake,CTL,bot,groundwater,March 2017,6032,,,,,,,,,,,
2017,3,Whiterock,CTL,bot,groundwater,March 2017,6033,,,,,,,,,,,
2017,3,Whiterock,trt,top,groundwater,March 2017,6034,,,,,,,,,,,
2017,3,Worle,CTL,bot,groundwater,March 2017,6035,,,,,,,,,,,
2017,3,Worle,trt,bot,groundwater,March 2017,6036,,,,,,,,,,,
2017,3,Worle,trt,top,groundwater,March 2017,6037,,,,,,,,,,,
2017,4,Arm.,trt,bot,groundwater,April 2017,6038,,,,,,,,,,,
2017,4,Arm.,trt,top,groundwater,April 2017,6039,,,,,,,,,,,
2017,4,Arm.,CTL,bot,groundwater,April 2017,6040,,,,,,,,,,,
2017,4,EIA,CTL,bot,groundwater,April 2017,6041,,,,,,,,,,,
2017,4,EIA ,trt,bot,groundwater,April 2017,6042,,,,,,,,,,,
2017,4,McNay,TRT,bot,groundwater,April 2017,6043,,,,,,,,,,,
2017,4,McNay,CTL,bot,groundwater,April 2017,6044,,,,,,,,,,,
2017,4,Rhodes,trt,top,groundwater,April 2017,6045,,,,,,,,,,,
2017,4,Rhodes,CTL,bot,groundwater,April 2017,6046,,,,,,,,,,,
2017,4,Rhodes,trt,bot,groundwater,April 2017,6030,,,,,,,,,,,
2017,4,Spirit Lake,trt,top,groundwater,April 2017,6047,,,,,,,,,,,
2017,4,Spirit Lake,trt,bot,groundwater,April 2017,6048,,,,,,,,,,,
2017,4,Spirit Lake,ctl,top,groundwater,April 2017,6049,,,,,,,,,,,
2017,4,Spirit Lake,CTL,bot,groundwater,April 2017,6050,,,,,,,,,,,
2017,4,Whiterock,CTL,bot,groundwater,April 2017,6051,,,,,,,,,,,
2017,4,Whiterock,trt,top,groundwater,April 2017,6052,,,,,,,,,,,
2017,4,Worle,CTL,bot,groundwater,April 2017,6053,,,,,,,,,,,
2017,4,Worle,trt,top,groundwater,April 2017,6054,,,,,,,,,,,
2017,4,Worle,trt,bot,groundwater,April 2017,6055,,,,,,,,,,,
2017,5,Arm.,trt,top,groundwater,May 2017,6056,,,,,,,,,,,
2017,5,Arm.,trt,bot,groundwater,May 2017,6057,,,,,,,,,,,
2017,5,Arm.,CTL,bot,groundwater,May 2017,6058,,,,,,,,,,,
2017,5,EIA,trt,bot,groundwater,May 2017,6059,,,,,,,,,,,
2017,5,EIA,CTL,bot,groundwater,May 2017,6060,,,,,,,,,,,
2017,5,McNay,CTL,bot,groundwater,May 2017,6061,,,,,,,,,,,
2017,5,McNay,TRT,bot,groundwater,May 2017,6062,,,,,,,,,,,
2017,5,rhodes,TRT,top,groundwater,May 2017,6063,,,,,,,,,,,
2017,5,rhodes,TRT,bot,groundwater,May 2017,6064,,,,,,,,,,,
2017,5,rhodes,CTL,bot,groundwater,May 2017,6065,,,,,,,,,,,
2017,5,spirit,trt,top,groundwater,May 2017,6066,,,,,,,,,,,
2017,5,spirit,TRT,bot,groundwater,May 2017,6067,,,,,,,,,,,
2017,5,spirit,ctl,bot,groundwater,May 2017,6068,,,,,,,,,,,
2017,5,spirit,ctl,top,groundwater,May 2017,6069,,,,,,,,,,,
2017,5,worle,TRT,top,groundwater,May 2017,6070,,,,,,,,,,,
2017,5,worle,TRT,bot,groundwater,May 2017,6071,,,,,,,,,,,
2017,5,worle,CTL,bot,groundwater,May 2017,6072,,,,,,,,,,,
2017,5,white,trt,top,groundwater,May 2017,6073,,,,,,,,,,,
2017,5,white,trt,bot,groundwater,May 2017,6074,,,,,,,,,,,
2017,5,white,ctl,bot,groundwater,May 2017,6075,,,,,,,,,,,
2017,6,spirit,trt,top,groundwater,June 2017,6076,,,,,,,,,,,
2017,6,spirit,TRT,bot,groundwater,June 2017,6077,,,,,,,,,,,
2017,6,spirit,ctl,bot,groundwater,June 2017,6078,,,,,,,,,,,
2017,6,spirit,ctl,top,groundwater,June 2017,6079,,,,,,,,,,,
2017,6,eia,TRT,bot,groundwater,June 2017,6080,,,,,,,,,,,
2017,6,eia,CTL,bot,groundwater,June 2017,6081,,,,,,,,,,,
2017,6,rhodes,TRT,top,groundwater,June 2017,6082,,,,,,,,,,,
2017,6,rhodes,TRT,bot,groundwater,June 2017,6083,,,,,,,,,,,
2017,6,rhodes,CTL,bot,groundwater,June 2017,6084,,,,,,,,,,,
2017,6,mcnay,ctl,bot,groundwater,June 2017,6085,,,,,,,,,,,
2017,6,mcnay,trt,bot,groundwater,June 2017,6086,,,,,,,,,,,
2017,6,worle,TRT,top,groundwater,June 2017,6087,,,,,,,,,,,
2017,6,worle,TRT,bot,groundwater,June 2017,6088,,,,,,,,,,,
2017,6,worle,CTL,bot,groundwater,June 2017,6089,,,,,,,,,,,
2017,6,arm,TRT,top,groundwater,June 2017,6090,,,,,,,,,,,
2017,6,arm,TRT,bot,groundwater,June 2017,6091,,,,,,,,,,,
2017,6,arm,CTL,bot,groundwater,June 2017,6092,,,,,,,,,,,
2017,6,white,trt,top,groundwater,June 2017,6093,,,,,,,,,,,
2017,6,white,trt,bot,groundwater,June 2017,6094,,,,,,,,,,,
2017,6,white,ctl,bot,groundwater,June 2017,6095,,,,,,,,,,,
2017,6,guthrie,TRT,top,groundwater,June 2017,6096,,,,,,,,,,,
2017,6,guthrie,TRT,bot,groundwater,June 2017,6097,,,,,,,,,,,
2017,7,spirit,trt,top,groundwater,July 2017,6125,,,,,,,,,,,
2017,7,spirit,TRT,bot,groundwater,July 2017,6126,,,,,,,,,,,
2017,7,spirit,ctl,bot,groundwater,July 2017,6127,,,,,,,,,,,
2017,7,spirit,ctl,top,groundwater,July 2017,6128,,,,,,,,,,,
2017,7,eia,TRT,bot,groundwater,July 2017,6129,,,,,,,,,,,
2017,7,eia,TRT,top,groundwater,July 2017,6130,,,,,,,,,,,
2017,7,eia,CTL,bot,groundwater,July 2017,6131,,,,,,,,,,,
2017,7,rhodes,TRT,top,groundwater,July 2017,6132,,,,,,,,,,,
2017,7,rhodes,TRT,bot,groundwater,July 2017,6133,,,,,,,,,,,
2017,7,rhodes,CTL,bot,groundwater,July 2017,6134,,,,,,,,,,,
2017,7,mcnay,ctl,bot,groundwater,July 2017,6135,,,,,,,,,,,
2017,7,mcnay,trt,bot,groundwater,July 2017,6136,,,,,,,,,,,
2017,7,worle,TRT,top,groundwater,July 2017,6137,,,,,,,,,,,
2017,7,worle,TRT,bot,groundwater,July 2017,6138,,,,,,,,,,,
2017,7,worle,CTL,bot,groundwater,July 2017,6139,,,,,,,,,,,
2017,7,arm,TRT,top,groundwater,July 2017,6140,,,,,,,,,,,
2017,7,arm,TRT,bot,groundwater,July 2017,6141,,,,,,,,,,,
2017,7,arm,CTL,bot,groundwater,July 2017,6142,,,,,,,,,,,
2017,7,white,trt,top,groundwater,July 2017,6143,,,,,,,,,,,
2017,7,white,ctl,bot,groundwater,July 2017,6144,,,,,,,,,,,
2017,8,spirit,trt,top,groundwater,August 2017,6145,,,,,,,,,,,
2017,8,spirit,TRT,bot,groundwater,August 2017,6146,,,,,,,,,,,
2017,8,spirit,ctl,bot,groundwater,August 2017,6147,,,,,,,,,,,
2017,8,spirit,ctl,top,groundwater,August 2017,6148,,,,,,,,,,,
2017,8,eia,TRT,bot,groundwater,August 2017,6149,,,,,,,,,,,
2017,8,eia,TRT,top,groundwater,August 2017,6150,,,,,,,,,,,
2017,8,eia,CTL,bot,groundwater,August 2017,6151,,,,,,,,,,,
2017,8,rhodes,TRT,top,groundwater,August 2017,6152,,,,,,,,,,,
2017,8,rhodes,TRT,bot,groundwater,August 2017,6153,,,,,,,,,,,
2017,8,rhodes,CTL,bot,groundwater,August 2017,6154,,,,,,,,,,,
2017,8,mcnay,ctl,bot,groundwater,August 2017,6155,,,,,,,,,,,
2017,8,mcnay,trt,bot,groundwater,August 2017,6156,,,,,,,,,,,
2017,8,worle,TRT,top,groundwater,August 2017,6157,,,,,,,,,,,
2017,8,worle,TRT,bot,groundwater,August 2017,6158,,,,,,,,,,,
2017,8,worle,CTL,bot,groundwater,August 2017,6159,,,,,,,,,,,
2017,8,arm,TRT,top,groundwater,August 2017,6160,,,,,,,,,,,
2017,8,arm,TRT,bot,groundwater,August 2017,6161,,,,,,,,,,,
2017,8,arm,CTL,bot,groundwater,August 2017,6162,,,,,,,,,,,
2017,8,white,ctl,bot,groundwater,August 2017,6163,,,,,,,,,,,
2017,9,spirit,trt,top,groundwater,September 2017,6187,,,,,,,,,,,
2017,9,spirit,TRT,bot,groundwater,September 2017,6188,,,,,,,,,,,
2017,9,spirit,ctl,bot,groundwater,September 2017,6189,,,,,,,,,,,
2017,9,spirit,ctl,top,groundwater,September 2017,6190,,,,,,,,,,,
2017,9,eia,TRT,bot,groundwater,September 2017,6191,,,,,,,,,,,
