2020 STRIPs GW codes,,,,,,,
,,,,,,,
year,month,site ,trt,position,Sample Source,Date,ID#
2020,1,arm,TRT,top,groundwater,January,9000
2020,1,arm,TRT,bot,groundwater,January,9001
2020,1,arm,CTL,bot,groundwater,January,9002
2020,1,mcnay,CTL,bot,groundwater,January,9003
2020,1,mcnay,TRT,bot,groundwater,January,9004
2020,1,rhodes,TRT,top,groundwater,January,9005
2020,1,rhodes,TRT,bot,groundwater,January,9006
2020,1,rhodes,CTL,bot,groundwater,January,9007
2020,1,spirit,CTL,top,groundwater,January,9008
2020,1,spirit,CTL,bot,groundwater,January,9009
2020,1,spirit,TRT,top,groundwater,January,9010
2020,1,spirit,TRT,bot,groundwater,January,9011
2020,1,white,TRT,top,groundwater,January,9012
2020,1,white,CTL,bot,groundwater,January,9013
2020,1,worle,TRT,bot,groundwater,January,9014
2020,1,worle,TRT,top,groundwater,January,9015
2020,1,worle,CTL,bot,groundwater,January,9016
2020,2,arm,TRT,top,groundwater,February,9017
2020,2,arm,TRT,bot,groundwater,February,9018
2020,2,arm,CTL,bot,groundwater,February,9019
2020,2,mcnay,TRT,bot,groundwater,February,9020
2020,2,rhodes,TRT,top,groundwater,February,9021
2020,2,rhodes,TRT,bot,groundwater,February,9022
2020,2,rhodes,CTL,bot,groundwater,February,9023
2020,2,spirit,CTL,top,groundwater,February,9024
2020,2,spirit,CTL,bot,groundwater,February,9025
2020,2,spirit,TRT,top,groundwater,February,9026
2020,2,spirit,TRT,bot,groundwater,February,9027
2020,2,white,TRT,top,groundwater,February,9028
2020,2,white,CTL,bot,groundwater,February,9029
2020,2,worle,TRT,bot,groundwater,February,9030
2020,2,worle,TRT,top,groundwater,February,9031
2020,2,worle,CTL,bot,groundwater,February,9032
2020,3,arm,TRT,top,groundwater,March,9033
2020,3,arm,TRT,bot,groundwater,March,9034
2020,3,arm,CTL,bot,groundwater,March,9035
2020,3,mcnay,CTL,bot,groundwater,March,9036
2020,3,mcnay,TRT,bot,groundwater,March,9037
2020,3,rhodes,TRT,top,groundwater,March,9038
2020,3,rhodes,TRT,bot,groundwater,March,9039
2020,3,rhodes,CTL,bot,groundwater,March,9040
2020,3,spirit,CTL,top,groundwater,March,9041
2020,3,spirit,CTL,bot,groundwater,March,9042
2020,3,spirit,TRT,top,groundwater,March,9043
2020,3,spirit,TRT,bot,groundwater,March,9044
2020,3,white,TRT,top,groundwater,March,9045
2020,3,white,CTL,bot,groundwater,March,9046
2020,3,worle,TRT,bot,groundwater,March,9047
2020,3,worle,TRT,top,groundwater,March,9048
2020,3,worle,CTL,bot,groundwater,March,9049
2020,3,guthrie,TRT,top,groundwater,March,9050
2020,3,guthrie,TRT,bot,groundwater,March,9051
2020,4,arm,TRT,top,groundwater,April,9052
2020,4,arm,TRT,bot,groundwater,April,9053
2020,4,arm,CTL,bot,groundwater,April,9054
2020,4,mcnay,CTL,bot,groundwater,April,9055
2020,4,mcnay,TRT,bot,groundwater,April,9056
2020,4,rhodes,TRT,top,groundwater,April,9057
2020,4,rhodes,TRT,bot,groundwater,April,9058
2020,4,rhodes,CTL,bot,groundwater,April,9059
2020,4,spirit,CTL,top,groundwater,April,9060
2020,4,spirit,CTL,bot,groundwater,April,9061
2020,4,spirit,TRT,top,groundwater,April,9062
2020,4,spirit,TRT,bot,groundwater,April,9063
2020,4,white,TRT,top,groundwater,April,9064
2020,4,white,TRT,bot,groundwater,April,9065
2020,4,white,CTL,bot,groundwater,April,9066
2020,4,worle,TRT,bot,groundwater,April,9067
2020,4,worle,TRT,top,groundwater,April,9068
2020,4,worle,CTL,bot,groundwater,April,9069
2020,5,arm,TRT,top,groundwater,May,9070
