sitename,date,rainday (in),flowday (in),TSS lbs/ac
Armstrong control,3/9/2016,0,0,NA
Armstrong control,3/10/2016,0,0,NA
Armstrong control,3/11/2016,0,0,NA
Armstrong control,3/12/2016,0,0,NA
Armstrong control,3/13/2016,0,0,NA
Armstrong control,3/14/2016,0,0,NA
Armstrong control,3/15/2016,0.3149608,6.03E-07,NA
Armstrong control,3/16/2016,0,0,NA
Armstrong control,3/17/2016,0,0,NA
Armstrong control,3/18/2016,0,0,NA
Armstrong control,3/19/2016,0,0,NA
Armstrong control,3/20/2016,0,0,NA
Armstrong control,3/21/2016,0,0,NA
Armstrong control,3/22/2016,0,0,NA
Armstrong control,3/23/2016,0.4330711,0,NA
Armstrong control,3/24/2016,0,0,NA
Armstrong control,3/25/2016,0,0,NA
Armstrong control,3/26/2016,0,0,NA
Armstrong control,3/27/2016,0,0,NA
Armstrong control,3/28/2016,0,0,NA
Armstrong control,3/29/2016,0,0,NA
Armstrong control,3/30/2016,0,0,NA
Armstrong control,3/31/2016,0,0,NA
Armstrong control,4/1/2016,0,0,NA
Armstrong control,4/2/2016,0,0,NA
Armstrong control,4/3/2016,0,0,NA
Armstrong control,4/4/2016,0,0,NA
Armstrong control,4/5/2016,0,0,NA
Armstrong control,4/6/2016,0,0,NA
Armstrong control,4/7/2016,0,0,NA
Armstrong control,4/8/2016,0,0,NA
Armstrong control,4/9/2016,0,0,NA
Armstrong control,4/10/2016,0,0,NA
Armstrong control,4/11/2016,0,0,NA
Armstrong control,4/19/2016,0,0,NA
Armstrong control,4/20/2016,1.3385834,0.000265984,NA
Armstrong control,4/21/2016,0,0.000157084,NA
Armstrong control,4/22/2016,0,0,NA
Armstrong control,4/23/2016,0,0,NA
Armstrong control,4/24/2016,0.2362206,0,NA
Armstrong control,4/25/2016,0,0,NA
Armstrong control,4/26/2016,0,0,NA
Armstrong control,4/27/2016,1.7322844,0.067395895,3.968719508
Armstrong control,4/28/2016,0,0.011669378,0.687448841
Armstrong control,4/29/2016,0,0,NA
Armstrong control,4/30/2016,1.2992133,0.070587518,4.158345561
Armstrong control,5/1/2016,0,0.00718371,0.423195879
Armstrong control,5/2/2016,0,0,NA
Armstrong control,5/3/2016,0,0,NA
Armstrong control,5/4/2016,0,0,NA
Armstrong control,5/5/2016,0,0,NA
Armstrong control,5/6/2016,0,0,NA
Armstrong control,5/7/2016,0,0,NA
Armstrong control,5/8/2016,0,0,NA
Armstrong control,5/9/2016,1.3779535,0.055986832,2.171993245
Armstrong control,5/10/2016,0,0.039192178,1.520449385
Armstrong control,5/11/2016,0.6299216,0.052421117,2.033662347
Armstrong control,5/12/2016,0,0.004355422,0.168967344
Armstrong control,5/13/2016,0,0,NA
Armstrong control,5/14/2016,0,0,NA
Armstrong control,5/15/2016,0,0,NA
Armstrong control,5/16/2016,0,0,NA
Armstrong control,5/17/2016,0,0,NA
Armstrong control,5/18/2016,0,0,NA
Armstrong control,5/19/2016,0,0,NA
Armstrong control,5/20/2016,0,0,NA
Armstrong control,5/21/2016,0,0,NA
Armstrong control,5/22/2016,0,0,NA
Armstrong control,5/23/2016,0,0,NA
Armstrong control,5/24/2016,0.1181103,0.000894723,NA
Armstrong control,5/25/2016,0.2362206,0.001439246,NA
Armstrong control,5/26/2016,2.4803163,0.199000303,26.01979907
Armstrong control,5/27/2016,0.2362206,0.023904682,3.125598367
Armstrong control,5/28/2016,0.0393701,0.02207831,2.886795585
Armstrong control,5/29/2016,0,0.000517998,0.067729534
Armstrong control,5/30/2016,0,0,NA
Armstrong control,5/31/2016,0.0393701,0.000408964,NA
Armstrong control,6/1/2016,0,0,NA
Armstrong control,6/2/2016,0,0,NA
Armstrong control,6/3/2016,0.1574804,0,NA
Armstrong control,6/4/2016,0,0.000151996,NA
Armstrong control,6/5/2016,0,0,NA
Armstrong control,6/6/2016,0,0,NA
Armstrong control,6/7/2016,0,0,NA
Armstrong control,6/8/2016,0,0,NA
Armstrong control,6/9/2016,0,0,NA
Armstrong control,6/10/2016,0,0,NA
Armstrong control,6/11/2016,0,0,NA
Armstrong control,6/12/2016,0,0,NA
Armstrong control,6/13/2016,0,0,NA
Armstrong control,6/14/2016,0,0,NA
Armstrong control,6/15/2016,0,0,NA
Armstrong control,6/16/2016,0,0,NA
Armstrong control,6/17/2016,0,0,NA
Armstrong control,6/18/2016,0,0,NA
Armstrong control,6/19/2016,0,0,NA
Armstrong control,6/20/2016,0.8267721,0,NA
Armstrong control,6/21/2016,0,0,NA
Armstrong control,6/22/2016,0,0,NA
Armstrong control,6/23/2016,0,0,NA
Armstrong control,6/24/2016,0,0,NA
Armstrong control,6/25/2016,0,0,NA
Armstrong control,6/26/2016,0.6299216,0,NA
Armstrong control,6/27/2016,0.0787402,0,NA
Armstrong control,6/28/2016,0,0,NA
Armstrong control,6/29/2016,0,0,NA
Armstrong control,6/30/2016,0,0,NA
Armstrong control,7/1/2016,0,0,NA
Armstrong control,7/2/2016,0.2755907,0,NA
Armstrong control,7/3/2016,0,0,NA
Armstrong control,7/4/2016,0,0,NA
Armstrong control,7/5/2016,0,0,NA
Armstrong control,7/6/2016,0,0,NA
Armstrong control,7/7/2016,0.8267721,0,NA
Armstrong control,7/8/2016,0,0,NA
Armstrong control,7/9/2016,0,0,NA
Armstrong control,7/10/2016,0,0,NA
Armstrong control,7/11/2016,0.9448824,0,NA
Armstrong control,7/12/2016,0.1968505,7.18E-05,NA
Armstrong control,7/13/2016,0,0,NA
Armstrong control,7/14/2016,0,0,NA
Armstrong control,7/15/2016,0,0,NA
Armstrong control,7/16/2016,0,0,NA
Armstrong control,7/17/2016,0,0,NA
Armstrong control,7/18/2016,2.2047256,0.049198819,0.789381668
Armstrong control,7/19/2016,0.3543309,0.000840312,NA
Armstrong control,7/20/2016,0,0.000412099,NA
Armstrong control,7/21/2016,0,0,NA
Armstrong control,7/22/2016,0,0,NA
Armstrong control,7/23/2016,0,0,NA
Armstrong control,7/24/2016,0,0,NA
Armstrong control,7/25/2016,0,0,NA
Armstrong control,7/26/2016,0,0,NA
Armstrong control,7/27/2016,0,0,NA
Armstrong control,7/28/2016,0,0,NA
Armstrong control,7/29/2016,0,0,NA
Armstrong control,7/30/2016,0,0,NA
Armstrong control,7/31/2016,0.1574804,0.009704,NA
Armstrong control,8/1/2016,0.1181103,0.011366257,NA
Armstrong control,8/2/2016,0,0.001916569,NA
Armstrong control,8/3/2016,0,0,NA
Armstrong control,8/4/2016,0,0,NA
Armstrong control,8/5/2016,0,0,NA
Armstrong control,8/6/2016,0,0,NA
Armstrong control,8/7/2016,0,0,NA
Armstrong control,8/8/2016,0,0,NA
Armstrong control,8/9/2016,0,0,NA
Armstrong control,8/10/2016,0,0,NA
Armstrong control,8/11/2016,0.7086618,0.000962034,NA
Armstrong control,8/12/2016,0,0.006916598,NA
Armstrong control,8/13/2016,0,0,NA
Armstrong control,8/14/2016,0,0,NA
Armstrong control,8/15/2016,0,0,NA
Armstrong control,8/16/2016,0,0,NA
Armstrong control,8/17/2016,0,0,NA
Armstrong control,8/18/2016,0,0,NA
