,sitename,date,rainday (in),flowday (in),TSS lbs/ac
1,Armstrong control,3/9/2016,0,0,NA
2,Armstrong control,3/10/2016,0,0,NA
3,Armstrong control,3/11/2016,0,0,NA
4,Armstrong control,3/12/2016,0,0,NA
5,Armstrong control,3/13/2016,0,0,NA
6,Armstrong control,3/14/2016,0,0,NA
7,Armstrong control,3/15/2016,0.3149608,6.03E-07,NA
8,Armstrong control,3/16/2016,0,0,NA
9,Armstrong control,3/17/2016,0,0,NA
10,Armstrong control,3/18/2016,0,0,NA
11,Armstrong control,3/19/2016,0,0,NA
12,Armstrong control,3/20/2016,0,0,NA
13,Armstrong control,3/21/2016,0,0,NA
14,Armstrong control,3/22/2016,0,0,NA
15,Armstrong control,3/23/2016,0.4330711,0,NA
16,Armstrong control,3/24/2016,0,0,NA
17,Armstrong control,3/25/2016,0,0,NA
18,Armstrong control,3/26/2016,0,0,NA
19,Armstrong control,3/27/2016,0,0,NA
20,Armstrong control,3/28/2016,0,0,NA
21,Armstrong control,3/29/2016,0,0,NA
22,Armstrong control,3/30/2016,0,0,NA
23,Armstrong control,3/31/2016,0,0,NA
24,Armstrong control,4/1/2016,0,0,NA
25,Armstrong control,4/2/2016,0,0,NA
26,Armstrong control,4/3/2016,0,0,NA
27,Armstrong control,4/4/2016,0,0,NA
28,Armstrong control,4/5/2016,0,0,NA
29,Armstrong control,4/6/2016,0,0,NA
30,Armstrong control,4/7/2016,0,0,NA
31,Armstrong control,4/8/2016,0,0,NA
32,Armstrong control,4/9/2016,0,0,NA
33,Armstrong control,4/10/2016,0,0,NA
34,Armstrong control,4/11/2016,0,0,NA
35,Armstrong control,4/19/2016,0,0,NA
36,Armstrong control,4/20/2016,1.3385834,0.000265984,NA
37,Armstrong control,4/21/2016,0,0.000157084,NA
38,Armstrong control,4/22/2016,0,0,NA
39,Armstrong control,4/23/2016,0,0,NA
40,Armstrong control,4/24/2016,0.2362206,0,NA
41,Armstrong control,4/25/2016,0,0,NA
42,Armstrong control,4/26/2016,0,0,NA
43,Armstrong control,4/27/2016,1.7322844,0.067395895,3.968719508
44,Armstrong control,4/28/2016,0,0.011669378,0.687448841
45,Armstrong control,4/29/2016,0,0,NA
46,Armstrong control,4/30/2016,1.2992133,0.070587518,4.158345561
47,Armstrong control,5/1/2016,0,0.00718371,0.423195879
48,Armstrong control,5/2/2016,0,0,NA
49,Armstrong control,5/3/2016,0,0,NA
50,Armstrong control,5/4/2016,0,0,NA
51,Armstrong control,5/5/2016,0,0,NA
52,Armstrong control,5/6/2016,0,0,NA
53,Armstrong control,5/7/2016,0,0,NA
54,Armstrong control,5/8/2016,0,0,NA
55,Armstrong control,5/9/2016,1.3779535,0.055986832,2.171993245
56,Armstrong control,5/10/2016,0,0.039192178,1.520449385
57,Armstrong control,5/11/2016,0.6299216,0.052421117,2.033662347
58,Armstrong control,5/12/2016,0,0.004355422,0.168967344
59,Armstrong control,5/13/2016,0,0,NA
60,Armstrong control,5/14/2016,0,0,NA
61,Armstrong control,5/15/2016,0,0,NA
62,Armstrong control,5/16/2016,0,0,NA
63,Armstrong control,5/17/2016,0,0,NA
64,Armstrong control,5/18/2016,0,0,NA
65,Armstrong control,5/19/2016,0,0,NA
66,Armstrong control,5/20/2016,0,0,NA
67,Armstrong control,5/21/2016,0,0,NA
68,Armstrong control,5/22/2016,0,0,NA
69,Armstrong control,5/23/2016,0,0,NA
70,Armstrong control,5/24/2016,0.1181103,0.000894723,NA
71,Armstrong control,5/25/2016,0.2362206,0.001439246,NA
72,Armstrong control,5/26/2016,2.4803163,0.199000303,26.01979907
73,Armstrong control,5/27/2016,0.2362206,0.023904682,3.125598367
74,Armstrong control,5/28/2016,0.0393701,0.02207831,2.886795585
75,Armstrong control,5/29/2016,0,0.000517998,0.067729534
76,Armstrong control,5/30/2016,0,0,NA
77,Armstrong control,5/31/2016,0.0393701,0.000408964,NA
78,Armstrong control,6/1/2016,0,0,NA
79,Armstrong control,6/2/2016,0,0,NA
80,Armstrong control,6/3/2016,0.1574804,0,NA
81,Armstrong control,6/4/2016,0,0.000151996,NA
82,Armstrong control,6/5/2016,0,0,NA
83,Armstrong control,6/6/2016,0,0,NA
84,Armstrong control,6/7/2016,0,0,NA
85,Armstrong control,6/8/2016,0,0,NA
86,Armstrong control,6/9/2016,0,0,NA
87,Armstrong control,6/10/2016,0,0,NA
88,Armstrong control,6/11/2016,0,0,NA
89,Armstrong control,6/12/2016,0,0,NA
90,Armstrong control,6/13/2016,0,0,NA
91,Armstrong control,6/14/2016,0,0,NA
92,Armstrong control,6/15/2016,0,0,NA
93,Armstrong control,6/16/2016,0,0,NA
94,Armstrong control,6/17/2016,0,0,NA
95,Armstrong control,6/18/2016,0,0,NA
96,Armstrong control,6/19/2016,0,0,NA
97,Armstrong control,6/20/2016,0.8267721,0,NA
98,Armstrong control,6/21/2016,0,0,NA
99,Armstrong control,6/22/2016,0,0,NA
100,Armstrong control,6/23/2016,0,0,NA
101,Armstrong control,6/24/2016,0,0,NA
102,Armstrong control,6/25/2016,0,0,NA
