"","sampleID","no3mgL","site","position","month","drpmgL","year","trt","pos","order"
"1",4200,14.5129,"ARM","Bot","Dec.",NA,"2015","CTL","CTL-Bot","Dec."
"2",4201,9.6225,"ARM","Top","Dec.",NA,"2015","TRT","TRT-Top","Dec."
"3",4202,2.7979,"ARM","Bot","Dec.",NA,"2015","TRT","TRT-Bot","Dec."
"4",4203,0.0744,"EIA","Bot","Dec.",NA,"2015","CTL","CTL-Bot","Dec."
"5",4204,0.0452,"EIA","Top","Dec.",NA,"2015","TRT","TRT-Top","Dec."
"6",4205,0.0962,"EIA","Bot","Dec.",NA,"2015","TRT","TRT-Bot","Dec."
"7",4207,9.8786,"GUT","Bot","Dec.",NA,"2015","TRT","TRT-Bot","Dec."
"8",4208,3.4031,"RHO","Bot","Dec.",NA,"2015","CTL","CTL-Bot","Dec."
"9",4211,0.7517,"WOR","Bot","Dec.",NA,"2015","CTL","CTL-Bot","Dec."
"10",4212,0.8545,"WOR","Top","Dec.",NA,"2015","TRT","TRT-Top","Dec."
"11",4213,0.8611,"WOR","Bot","Dec.",NA,"2015","TRT","TRT-Bot","Dec."
"12",5014,14.1029,"ARM","Bot","Apr.",NA,"2016","CTL","CTL-Bot","Apr."
"13",5015,9.0837,"ARM","Top","Apr.",NA,"2016","TRT","TRT-Top","Apr."
"14",5016,5.4316,"ARM","Bot","Apr.",NA,"2016","TRT","TRT-Bot","Apr."
"15",5017,0.1201,"EIA","Bot","Apr.",NA,"2016","CTL","CTL-Bot","Apr."
"16",5018,0.4601,"EIA","Top","Apr.",NA,"2016","TRT","TRT-Top","Apr."
"17",5019,0.3727,"EIA","Bot","Apr.",NA,"2016","TRT","TRT-Bot","Apr."
"18",5022,3.9416,"RHO","Bot","Apr.",NA,"2016","CTL","CTL-Bot","Apr."
"19",5023,2.9326,"RHO","Top","Apr.",NA,"2016","TRT","TRT-Top","Apr."
"20",5024,5.6221,"RHO","Bot","Apr.",NA,"2016","TRT","TRT-Bot","Apr."
"21",5025,0.7022,"WOR","Bot","Apr.",NA,"2016","CTL","CTL-Bot","Apr."
"22",5026,3.2518,"WOR","Top","Apr.",NA,"2016","TRT","TRT-Top","Apr."
"23",5027,3.0027,"WOR","Bot","Apr.",NA,"2016","TRT","TRT-Bot","Apr."
"24",5028,13.0261,"ARM","Bot","May",NA,"2016","CTL","CTL-Bot","May"
"25",5029,9.5536,"ARM","Top","May",NA,"2016","TRT","TRT-Top","May"
"26",5030,4.2988,"ARM","Bot","May",NA,"2016","TRT","TRT-Bot","May"
"27",5031,0.1119,"EIA","Bot","May",NA,"2016","CTL","CTL-Bot","May"
"28",5032,0.3065,"EIA","Top","May",NA,"2016","TRT","TRT-Top","May"
"29",5033,0.348,"EIA","Bot","May",NA,"2016","TRT","TRT-Bot","May"
"30",4206,7.9682,"GUT","Top","Dec.",NA,"2015","TRT","TRT-Top","Dec."
"31",5036,4.8029,"RHO","Bot","May",NA,"2016","CTL","CTL-Bot","May"
"32",5037,3.0736,"RHO","Top","May",NA,"2016","TRT","TRT-Top","May"
"33",5038,5.691,"RHO","Bot","May",NA,"2016","TRT","TRT-Bot","May"
"34",5039,0.653,"WOR","Bot","May",NA,"2016","CTL","CTL-Bot","May"
"35",5040,7.193,"WOR","Top","May",NA,"2016","TRT","TRT-Top","May"
"36",5041,3.6835,"WOR","Bot","May",NA,"2016","TRT","TRT-Bot","May"
"37",5042,10.5983,"ARM","Bot","June",NA,"2016","CTL","CTL-Bot","June"
"38",5043,9.216,"ARM","Top","June",NA,"2016","TRT","TRT-Top","June"
"39",5044,3.8983,"ARM","Bot","June",NA,"2016","TRT","TRT-Bot","June"
"40",5045,0.3552,"EIA","Bot","June",NA,"2016","CTL","CTL-Bot","June"
"41",5046,0.5147,"EIA","Top","June",NA,"2016","TRT","TRT-Top","June"
"42",5047,0.3849,"EIA","Bot","June",NA,"2016","TRT","TRT-Bot","June"
"43",5048,6.7262,"GUT","Top","June",NA,"2016","TRT","TRT-Top","June"
"44",5049,9.0621,"GUT","Bot","June",NA,"2016","TRT","TRT-Bot","June"
"45",5050,2.9148,"RHO","Bot","June",NA,"2016","CTL","CTL-Bot","June"
"46",5051,5.6995,"RHO","Top","June",NA,"2016","TRT","TRT-Top","June"
"47",5052,5.8144,"RHO","Bot","June",NA,"2016","TRT","TRT-Bot","June"
"48",5053,0.5278,"WOR","Bot","June",NA,"2016","CTL","CTL-Bot","June"
"49",5054,7.3253,"WOR","Top","June",NA,"2016","TRT","TRT-Top","June"
"50",5055,3.3802,"WOR","Bot","June",NA,"2016","TRT","TRT-Bot","June"
"51",5056,11.1103,"ARM","Bot","July",NA,"2016","CTL","CTL-Bot","July"
