year,month,site,trt,pos,uncorrected depth (ft),date measured,
2017,2,spirit,trt,top,5.19,2/7/2017,covered with snow
2017,2,spirit,TRT,bot,,2/7/2017,broke off top of well
2017,2,spirit,ctl,bot,4.72,2/7/2017,
2017,2,spirit,ctl,top,4.35,2/7/2017,
2017,2,eia,TRT,bot,4.08,2/13/2017,
2017,2,eia,TRT,top,2.44,2/13/2017,
2017,2,eia,CTL,bot,3.97,2/13/2017,
2017,2,rhodes,TRT,top,2.66,2/13/2017,",well couldn't be found. also, cattle got into fence protecting flume and broke some things"
2017,2,rhodes,TRT,bot,,2/13/2017,
2017,2,rhodes,CTL,bot,1.5,2/13/2017,
2017,2,mcnay,ctl,bot,0.53,2/14/2017,
2017,2,mcnay,trt,bot,1.24,2/14/2017,
2017,2,worle,TRT,top,3.4,2/14/2017,
2017,2,worle,TRT,bot,5.62,2/14/2017,
2017,2,worle,CTL,bot,3.41,2/14/2017,
2017,2,arm,TRT,top,5.49,2/15/2017,
2017,2,arm,TRT,bot,5.6,2/15/2017,
2017,2,arm,CTL,bot,7.25,2/15/2017,"too little water for sample, well height 1.5 inches"
2017,2,white,trt,top,14.72,2/21/2017,"too little water for sample, well height 1.5 inches"
2017,2,white,trt,bot,14.73,2/21/2017,well height 2 inches
2017,2,white,ctl,bot,9.16,2/21/2017,"snowed over, couldn't find"
2017,3,spirit,trt,top,,3/16/2017,"snowed over, couldn't find"
2017,3,spirit,TRT,bot,,3/16/2017,well 0
2017,3,spirit,ctl,bot,5.5,3/16/2017,well 1.15 feet
2017,3,spirit,ctl,top,3.94,3/16/2017,well height .5 inches
2017,3,eia,TRT,bot,3.88,3/8/2017,well height 1 inch
2017,3,eia,TRT,top,2.76,3/8/2017,1.5 inches well
2017,3,eia,CTL,bot,3.86,3/8/2017,well 5 inches
2017,3,rhodes,TRT,top,2.58,3/8/2017,well 0 inches
2017,3,rhodes,TRT,bot,1.82,3/8/2017,well 2 inches
2017,3,rhodes,CTL,bot,1.12,3/8/2017,well 1 inch
2017,3,mcnay,ctl,bot,1.31,3/13/2017,well 1.5 inch
2017,3,mcnay,trt,bot,1.39,3/13/2017,well 0 inches
2017,3,worle,TRT,top,6.12,3/15/2017,well 2 inches
2017,3,worle,TRT,bot,5.47,3/15/2017,well 1.5 inches
2017,3,worle,CTL,bot,2.83,3/15/2017,well 2.5 inches
2017,3,arm,TRT,top,4.95,3/15/2017,well 4 inches
2017,3,arm,TRT,bot,5.14,3/15/2017,well 0
2017,3,arm,CTL,bot,8.86,3/15/2017,
2017,3,white,trt,top,12.08,3/22/2017,"not enough water, no sample collected"
2017,3,white,trt,bot,14.74,3/22/2017,
2017,3,white,ctl,bot,7.49,3/22/2017,well 0
2017,3,guthrie,TRT,top,3.91,3/17/2017,well 2 inches
2017,3,guthrie,TRT,bot,4.2,3/17/2017,well 1 inch
2017,4,spirit,trt,top,4.53,4/27/2017,well 1.5 inches
2017,4,spirit,TRT,bot,4.88,4/27/2017,
2017,4,spirit,ctl,bot,5.17,4/27/2017,
2017,4,spirit,ctl,top,3.11,4/27/2017,
2017,4,eia,TRT,bot,4.05,4/25/2017,well buried
2017,4,eia,TRT,top,,4/25/2017,
2017,4,eia,CTL,bot,3.84,4/25/2017,
2017,4,rhodes,TRT,top,1.87,4/25/2017,
2017,4,rhodes,TRT,bot,0.94,4/5/2017,water was above ground in gw
2017,4,rhodes,CTL,bot,0.12,4/5/2017,water was flowing slightly out of top of well
2017,4,mcnay,ctl,bot,0,4/4/2017,
2017,4,mcnay,trt,bot,0.37,4/4/2017,
2017,4,worle,TRT,top,5.33,4/5/2017,
2017,4,worle,TRT,bot,5.22,4/5/2017,
2017,4,worle,CTL,bot,1.32,4/5/2017,
2017,4,arm,TRT,top,4,4/18/2017,
2017,4,arm,TRT,bot,4.41,4/18/2017,
2017,4,arm,CTL,bot,2.24,4/18/2017,
2017,4,white,trt,top,9.27,4/24/2017,too low to get sample
2017,4,white,trt,bot,14.71,4/24/2017,
2017,4,white,ctl,bot,7.4,4/24/2017,
2017,5,spirit,trt,top,4.73,5/16/2017,
2017,5,spirit,TRT,bot,4.82,5/16/2017,
2017,5,spirit,ctl,bot,5.12,5/16/2017,
2017,5,spirit,ctl,top,3.35,5/16/2017,
2017,5,eia,TRT,bot,4.02,5/9/2017,well buried
2017,5,eia,TRT,top,,5/9/2017,
2017,5,eia,CTL,bot,3.81,5/9/2017,
2017,5,rhodes,TRT,top,2.36,5/12/2017,
2017,5,rhodes,TRT,bot,1.52,5/12/2017,
2017,5,rhodes,CTL,bot,0.45,5/12/2017,water is Flowing out of the top of the ground well pipe
2017,5,mcnay,ctl,bot,0,5/11/2017,
2017,5,mcnay,trt,bot,0.3,5/11/2017,
2017,5,worle,TRT,top,5.4,5/12/2017,
2017,5,worle,TRT,bot,5.42,5/12/2017,
2017,5,worle,CTL,bot,1.79,5/12/2017,
2017,5,arm,TRT,top,3.79,5/10/2017,
2017,5,arm,TRT,bot,4.02,5/10/2017,
2017,5,arm,CTL,bot,1.03,5/10/2017,
2017,5,white,trt,top,6.47,5/15/2017,
2017,5,white,trt,bot,7.05,5/15/2017,
2017,5,white,ctl,bot,4.92,5/15/2017,
2017,6,spirit,trt,top,4.62,6/5/2017,
2017,6,spirit,TRT,bot,4.78,6/5/2017,
2017,6,spirit,ctl,bot,5.02,6/5/2017,
2017,6,spirit,ctl,top,3.16,6/5/2017,
2017,6,eia,TRT,bot,4.33,6/6/2017,well buried
2017,6,eia,TRT,top,,6/6/2017,
2017,6,eia,CTL,bot,3.91,6/6/2017,
2017,6,rhodes,TRT,top,2.63,6/6/2017,
2017,6,rhodes,TRT,bot,2.15,6/6/2017,
2017,6,rhodes,CTL,bot,1.23,6/6/2017,
2017,6,mcnay,ctl,bot,1.37,6/8/2017,
2017,6,mcnay,trt,bot,2.56,6/8/2017,
2017,6,worle,TRT,top,5.72,6/8/2017,
2017,6,worle,TRT,bot,5.51,6/8/2017,
2017,6,worle,CTL,bot,2.61,6/8/2017,
2017,6,arm,TRT,top,3.96,6/7/2017,
2017,6,arm,TRT,bot,2.38,6/7/2017,
2017,6,arm,CTL,bot,2.3,6/7/2017,
2017,6,white,trt,top,9.13,6/7/2017,
2017,6,white,trt,bot,13.5,6/7/2017,
2017,6,white,ctl,bot,7.43,6/7/2017,
2017,6,guthrie,TRT,top,3.66,6/13/2017,
2017,6,guthrie,TRT,bot,3.78,6/13/2017,
2017,7,spirit,trt,top,4.89,7/11/2017,
2017,7,spirit,TRT,bot,5.18,7/11/2017,well had been run over and pushed into ground. ended up pulling well sleeve out of ground about a foot so I could hammer cap off. pushed well sleeve back down to normal depth and about 15 minutes later came back and collected water depth and sample. sample was muddier than usual
