Site,Position,Sample Source,Date,ID#
Guthrie,Top,groundwater,Sept. 2015,4189
Guthrie,Bottom,groundwater,Sept. 2015,4190
Arm.,CTL,groundwater,Dec. 2015,4200
Arm.,Toe-Top,groundwater,Dec. 2015,4201
Arm.,Toe-Bot,groundwater,Dec. 2015,4202
EIA,CTL,groundwater,Dec. 2015,4203
EIA,Toe-Top,groundwater,Dec. 2015,4204
EIA,Toe-Bot,groundwater,Dec. 2015,4205
Guthrie,Top,groundwater,Dec. 2015,4206
Guthrie,Bottom,groundwater,Dec. 2015,4207
Rhodes,CTL,groundwater,Dec. 2015,4208
Rhodes,Toe-Top,groundwater,Dec. 2015,4209
Rhodes,Toe-Bot,groundwater,Dec. 2015,4210
Worle,CTL,groundwater,Dec. 2015,4211
Worle,Toe-Top,groundwater,Dec. 2015,4212
Worle,Toe-Bot,groundwater,Dec. 2015,4213
Arm.,CTL,groundwater,March,5000
Arm.,Toe-Top,groundwater,March,5001
Arm.,Toe-Bot,groundwater,March,5002
EIA,CTL,groundwater,March,5003
EIA,Toe-Top,groundwater,March,5004
EIA,Toe-Bot,groundwater,March,5005
Guthrie,Top,groundwater,March,5006
Guthrie,Bottom,groundwater,March,5007
Rhodes,CTL,groundwater,March,5008
Rhodes,Toe-Top,groundwater,March,5009
Rhodes,Toe-Bot,groundwater,March,5010
Worle,CTL,groundwater,March,5011
Worle,Toe-Top,groundwater,March,5012
Worle,Toe-Bot,groundwater,March,5013
Arm.,CTL,groundwater,April,5014
Arm.,Toe-Top,groundwater,April,5015
Arm.,Toe-Bot,groundwater,April,5016
EIA,CTL,groundwater,April,5017
EIA,Toe-Top,groundwater,April,5018
EIA,Toe-Bot,groundwater,April,5019
Guthrie,Top,groundwater,April,5020
Guthrie,Bottom,groundwater,April,5021
Rhodes,CTL,groundwater,April,5022
Rhodes,Toe-Top,groundwater,April,5023
Rhodes,Toe-Bot,groundwater,April,5024
Worle,CTL,groundwater,April,5025
Worle,Toe-Top,groundwater,April,5026
Worle,Toe-Bot,groundwater,April,5027
Arm.,CTL,groundwater,May,5028
Arm.,Toe-Top,groundwater,May,5029
Arm.,Toe-Bot,groundwater,May,5030
EIA,CTL,groundwater,May,5031
EIA,Toe-Top,groundwater,May,5032
EIA,Toe-Bot,groundwater,May,5033
Guthrie,Top,groundwater,May,5034
Guthrie,Bottom,groundwater,May,5035
Rhodes,CTL,groundwater,May,5036
Rhodes,Toe-Top,groundwater,May,5037
Rhodes,Toe-Bot,groundwater,May,5038
Worle,CTL,groundwater,May,5039
Worle,Toe-Top,groundwater,May,5040
Worle,Toe-Bot,groundwater,May,5041
Arm.,CTL,groundwater,June,5042
Arm.,Toe-Top,groundwater,June,5043
Arm.,Toe-Bot,groundwater,June,5044
EIA,CTL,groundwater,June,5045
EIA,Toe-Top,groundwater,June,5046
EIA,Toe-Bot,groundwater,June,5047
Guthrie,Top,groundwater,June,5048
Guthrie,Bottom,groundwater,June,5049
Rhodes,CTL,groundwater,June,5050
Rhodes,Toe-Top,groundwater,June,5051
Rhodes,Toe-Bot,groundwater,June,5052
Worle,CTL,groundwater,June,5053
Worle,Toe-Top,groundwater,June,5054
Worle,Toe-Bot,groundwater,June,5055
Arm.,CTL,groundwater,July,5056
Arm.,Toe-Top,groundwater,July,5057
Arm.,Toe-Bot,groundwater,July,5058
EIA,CTL,groundwater,July,5059
EIA,Toe-Top,groundwater,July,5060
EIA,Toe-Bot,groundwater,July,5061
Guthrie,Top,groundwater,July,5062
Guthrie,Bottom,groundwater,July,5063
Rhodes,CTL,groundwater,July,5064
Rhodes,Toe-Top,groundwater,July,5065
Rhodes,Toe-Bot,groundwater,July,5066
Worle,CTL,groundwater,July,5067
Worle,Toe-Top,groundwater,July,5068
Worle,Toe-Bot,groundwater,July,5069
Arm.,CTL,groundwater,Aug.,5070
Arm.,Toe-Top,groundwater,Aug.,5071
Arm.,Toe-Bot,groundwater,Aug.,5072
EIA,CTL,groundwater,Aug.,5073
