STRIPs 2017 groundwater analysis results,,,,
,,,,
Sample ID#,Nitrate+nitrite analysis date,NOx result (mg N/L),Dissolved reactive phosphorus analysis date,DRP result (mg P/L)
6000,8/2/2017,9.7414,8/8/2017,0.017
6001,8/2/2017,1.3024,8/8/2017,0.164
6002,8/2/2017,10.1366,8/8/2017,0.099
6003,8/2/2017,0.8182,8/8/2017,0.019
6004,8/2/2017,0.5406,8/8/2017,0.008
6005,8/2/2017,1.0376,8/8/2017,0.065
6006,8/2/2017,14.4003,8/8/2017,0.003
6007,8/2/2017,2.6778,8/8/2017,0.030
6008,8/2/2017,0.6845,8/8/2017,0.013
6009,8/2/2017,0.6477,8/8/2017,0.057
6010,8/2/2017,9.1208,8/8/2017,0.002
6011,8/2/2017,5.8724,8/8/2017,0.006
6012,8/2/2017,5.7455,8/8/2017,0.001
6013,8/2/2017,12.8925,8/8/2017,0.049
6014,8/2/2017,2.3714,8/8/2017,0.009
6015,8/2/2017,3.3507,8/8/2017,0.217
6016,8/2/2017,0.3015,8/8/2017,0.001
6017,8/2/2017,9.6635,8/8/2017,0.012
6018,8/2/2017,0.9836,8/8/2017,0.161
6019,8/2/2017,12.2233,8/8/2017,0.050
6020,8/2/2017,0.5189,8/8/2017,0.003
6021,8/2/2017,0.4740,8/8/2017,0.055
6022,8/2/2017,0.5974,8/8/2017,0.045
6023,8/2/2017,8.3336,8/8/2017,0.003
6024,8/2/2017,4.6225,8/8/2017,0.006
6025,8/2/2017,14.1453,8/8/2017,0.007
6026,8/2/2017,3.3214,8/8/2017,0.013
6027,8/2/2017,0.6899,8/8/2017,0.068
6028,8/2/2017,8.1283,8/8/2017,0.041
6029,8/2/2017,0.9522,8/8/2017,0.042
,,,,
6031,8/2/2017,6.2417,8/8/2017,0.001
6032,8/2/2017,5.0561,8/8/2017,0.010
6033,8/2/2017,13.6367,8/8/2017,0.036
6034,8/2/2017,4.5702,8/8/2017,0.035
6035,8/2/2017,0.4854,8/8/2017,-0.002
6036,8/2/2017,2.5044,8/8/2017,-0.002
6037,8/2/2017,6.7029,8/8/2017,0.076
6038,8/3/2017,2.8023,8/8/2017,0.165
6039,8/3/2017,9.9853,8/8/2017,0.009
6040,8/3/2017,13.5944,8/8/2017,0.009
6041,8/4/2017,0.1843,8/8/2017,0.009
6042,8/4/2017,0.2032,8/8/2017,0.006
6043,8/3/2017,3.6307,8/8/2017,0.007
6044,8/3/2017,14.9444,8/8/2017,-0.001
6045,8/3/2017,1.7235,8/8/2017,0.047
6046,8/3/2017,6.9598,8/8/2017,0.018
6030,8/3/2017,8.7020,8/8/2017,0.025
6047,8/3/2017,10.7582,8/8/2017,-0.001
6048,8/3/2017,10.6142,8/8/2017,0.002
6049,8/3/2017,5.8742,8/8/2017,0.002
6050,8/3/2017,6.3587,8/8/2017,0.031
6051,8/3/2017,15.8368,8/8/2017,0.037
6052,8/3/2017,4.8580,8/8/2017,0.026
6053,8/3/2017,0.2981,8/8/2017,-0.001
6054,8/3/2017,8.2797,8/8/2017,0.052
6055,8/3/2017,3.4455,8/8/2017,0.000
6056,8/3/2017,10.1228,8/8/2017,0.011
6057,8/3/2017,4.6438,8/8/2017,0.160
6058,8/3/2017,13.4578,8/8/2017,0.007
6059,8/4/2017,0.2090,8/8/2017,0.002
6060,8/4/2017,0.2344,8/8/2017,0.014
6061,8/3/2017,15.5278,8/8/2017,-0.001
6062,8/3/2017,4.0909,8/8/2017,0.017
6063,8/3/2017,3.4257,8/8/2017,0.045
6064,8/3/2017,9.3072,8/8/2017,0.018
6065,8/3/2017,5.7383,8/8/2017,0.023
6066,8/3/2017,11.2223,8/8/2017,0.001
6067,8/3/2017,9.8960,8/8/2017,0.001
6068,8/3/2017,6.5843,8/8/2017,0.011
6069,8/3/2017,5.6285,8/8/2017,0.000
6070,8/3/2017,6.1196,8/8/2017,0.033
6071,8/3/2017,1.6924,8/8/2017,-0.002
6072,8/3/2017,0.2731,8/8/2017,0.000
6073,8/3/2017,5.0280,8/8/2017,0.027
6074,8/3/2017,0.6410,8/8/2017,0.029
6075,8/3/2017,14.6920,8/8/2017,0.033
6076,8/3/2017,11.7465,8/8/2017,0.000
6077,8/3/2017,7.8083,8/8/2017,0.001
6078,8/3/2017,5.8900,8/8/2017,0.002
