STRIPs 2018 groundwater analysis results,,,New' Strips = blue,Neal Smith Strips = orange
,,,,
Sample ID#,Nitrate+nitrite analysis date,NOx result (mg N/L),Dissolved reactive phosphorus analysis date,DRP result (mg P/L)
7000,4/24/2018,9.131,4/18/2018,0.027
7001,4/24/2018,5.735,4/18/2018,0.146
7002,4/24/2018,11.338,4/18/2018,0.019
7003,,,4/18/2018,0.004
7004,4/24/2018,0.254,4/18/2018,0.028
7005,4/24/2018,0.334,4/18/2018,0.001
7006,4/24/2018,14.045,4/18/2018,0.008
7007,4/24/2018,1.283,4/18/2018,0.023
7008,4/24/2018,0.578,4/18/2018,0.058
7009,4/24/2018,9.028,4/18/2018,0.051
7010,4/24/2018,5.492,4/18/2018,0.05
7011,4/24/2018,8.384,4/18/2018,0.002
7012,4/24/2018,6.97,4/18/2018,0.002
7013,4/24/2018,3.178,4/18/2018,0.001
7014,4/24/2018,6.247,4/18/2018,0.003
7015,4/24/2018,14.911,4/18/2018,0.052
7016,4/24/2018,5.531,4/18/2018,0.017
7017,4/24/2018,1.827,4/18/2018,0.003
7018,4/24/2018,0.274,4/18/2018,0.005
7019,6/27/2018,9.181,4/18/2018,0.014
7020,6/27/2018,4.743,4/18/2018,0.15
7021,6/27/2018,11.271,4/18/2018,0.054
7022,.,.,.,.
7023,6/27/2018,0.471,4/18/2018,0.039
7024,6/28/2018,0.199,4/18/2018,0.008
7025,6/27/2018,14.522,4/18/2018,0.008
7026,6/27/2018,1.662,4/18/2018,0.03
7027,6/27/2018,0.636,4/18/2018,0.052
7028,6/27/2018,9.019,4/18/2018,0.028
7029,6/27/2018,3.069,4/18/2018,0.022
7030,6/27/2018,3.062,4/18/2018,0.003
7031,6/27/2018,14.812,4/18/2018,0.04
7032,6/27/2018,6.848,4/18/2018,0.013
7033,6/27/2018,1.645,4/18/2018,0.005
7034,6/28/2018,0.162,4/18/2018,0.003
7035,6/27/2018,9.241,5/9/2018,0.018
7036,6/27/2018,4.755,5/9/2018,0.146
7037,6/27/2018,8.409,5/9/2018,0.218
7038,6/27/2018,0.469,5/9/2018,0.502
7039,6/27/2018,0.299,5/9/2018,0.024
7040,6/27/2018,0.298,5/9/2018,0.004
7041,6/27/2018,14.563,5/9/2018,0.005
7042,6/27/2018,0.877,5/9/2018,0.019
7043,6/27/2018,0.631,5/9/2018,0.04
7044,6/27/2018,9.346,5/9/2018,0.02
7045,6/27/2018,1.004,5/9/2018,0.025
7046,6/27/2018,3.011,5/9/2018,0.059
7047,6/27/2018,7.509,5/9/2018,0.001
7048,6/27/2018,15.531,5/9/2018,0.041
7049,6/27/2018,6.322,5/9/2018,0.005
7050,6/27/2018,1.874,5/9/2018,0.002
7051,6/28/2018,0.223,5/9/2018,0.002
7052,6/27/2018,4.056,5/9/2018,0.028
7053,6/27/2018,7.857,5/9/2018,0.02
7054,4/8/2019,10.647,3/20/2019,0.000
7055,4/8/2019,3.720,3/20/2019,0.129
7056,4/8/2019,9.216,3/20/2019,0.085
7057,4/8/2019,0.695,3/20/2019,0.083
7058,4/22/2019,0.145,3/20/2019,0.034
7059,4/22/2019,0.130,3/20/2019,0.001
7060,4/8/2019,13.834,3/20/2019,0.000
7061,4/8/2019,0.796,3/20/2019,0.017
7062,4/8/2019,1.103,3/20/2019,0.071
7063,4/8/2019,8.869,3/20/2019,0.037
7064,4/8/2019,0.737,3/20/2019,0.036
7065,4/8/2019,2.793,3/20/2019,0.004
7066,4/8/2019,6.500,3/20/2019,0.001
7067,4/8/2019,5.894,3/20/2019,0.001
7068,4/8/2019,4.570,3/20/2019,0.003
7069,4/8/2019,16.533,3/20/2019,0.036
7070,4/8/2019,7.437,3/20/2019,0.005
