2018 STRIPS GW Codes,,,,,,,
,,,,,,,
year,month,site,trt,position,Sample Source,Date,ID#
2018,1,arm,TRT,top,groundwater,Jan. 2018,7000
2018,1,arm,TRT,bot,groundwater,Jan. 2018,7001
2018,1,arm,CTL,bot,groundwater,Jan. 2018,7002
2018,1,eia,TRT,bot,groundwater,Jan. 2018,7003
2018,1,eia,TRT,top,groundwater,Jan. 2018,7004
2018,1,eia,CTL,bot,groundwater,Jan. 2018,7005
2018,1,mcnay,ctl,bot,groundwater,Jan. 2018,7006
2018,1,mcnay,trt,bot,groundwater,Jan. 2018,7007
2018,1,rhodes,TRT,top,groundwater,Jan. 2018,7008
2018,1,rhodes,TRT,bot,groundwater,Jan. 2018,7009
2018,1,rhodes,CTL,bot,groundwater,Jan. 2018,7010
2018,1,spirit,trt,top,groundwater,Jan. 2018,7011
2018,1,spirit,TRT,bot,groundwater,Jan. 2018,7012
2018,1,spirit,ctl,bot,groundwater,Jan. 2018,7013
2018,1,spirit,ctl,top,groundwater,Jan. 2018,7014
2018,1,white,ctl,bot,groundwater,Jan. 2018,7015
2018,1,worle,TRT,top,groundwater,Jan. 2018,7016
2018,1,worle,TRT,bot,groundwater,Jan. 2018,7017
2018,1,worle,CTL,bot,groundwater,Jan. 2018,7018
2018,2,arm,TRT,top,groundwater,Feb. 2018,7019
2018,2,arm,TRT,bot,groundwater,Feb. 2018,7020
2018,2,arm,CTL,bot,groundwater,Feb. 2018,7021
2018,2,eia,TRT,bot,groundwater,Feb. 2018,7022
2018,2,eia,TRT,top,groundwater,Feb. 2018,7023
2018,2,eia,CTL,bot,groundwater,Feb. 2018,7024
2018,2,mcnay,ctl,bot,groundwater,Feb. 2018,7025
2018,2,mcnay,trt,bot,groundwater,Feb. 2018,7026
2018,2,rhodes,TRT,top,groundwater,Feb. 2018,7027
2018,2,rhodes,TRT,bot,groundwater,Feb. 2018,7028
2018,2,rhodes,CTL,bot,groundwater,Feb. 2018,7029
2018,2,spirit,ctl,bot,groundwater,Feb. 2018,7030
2018,2,white,ctl,bot,groundwater,Feb. 2018,7031
2018,2,worle,TRT,top,groundwater,Feb. 2018,7032
