2019 STRIPs GW codes,,,,,,,
,,,,,,,
year,month,site ,trt,position,Sample Source,Date,ID#
2019,1,arm,TRT,top,groundwater,January,8000
2019,1,arm,TRT,bot,groundwater,January,8001
2019,1,arm,CTL,bot,groundwater,January,8002
2019,1,eia,TRT,bot,groundwater,January,.
2019,1,eia,TRT,top,groundwater,January,.
2019,1,eia,CTL,bot,groundwater,January,.
2019,1,mcnay,CTL,bot,groundwater,January,.
2019,1,mcnay,TRT,bot,groundwater,January,8003
2019,1,rhodes,TRT,top,groundwater,January,8004
2019,1,rhodes,TRT,bot,groundwater,January,.
2019,1,rhodes,CTL,bot,groundwater,January,8005
2019,1,spirit,TRT,top,groundwater,January,8006
2019,1,spirit,TRT,bot,groundwater,January,8007
2019,1,spirit,CTL,bot,groundwater,January,8008
2019,1,spirit,CTL,top,groundwater,January,8009
2019,1,white,TRT,top,groundwater,January,8010
2019,1,white,TRT,bot,groundwater,January,8011
2019,1,white,CTL,bot,groundwater,January,8012
2019,1,worle,TRT,top,groundwater,January,8013
2019,1,worle,TRT,bot,groundwater,January,8014
2019,1,worle,CTL,bot,groundwater,January,8015
2019,2,arm,TRT,top,groundwater,February,8016
2019,2,arm,TRT,bot,groundwater,February,8017
2019,2,arm,CTL,bot,groundwater,February,8018
2019,3,arm,TRT,top,groundwater,March,8019
2019,3,arm,TRT,bot,groundwater,March,8020
2019,3,arm,CTL,bot,groundwater,March,8021
2019,3,mcnay,CTL,bot,groundwater,March,8022
2019,3,mcnay,TRT,bot,groundwater,March,8023
2019,3,rhodes,TRT,top,groundwater,March,8024
2019,3,rhodes,TRT,bot,groundwater,March,8025
2019,3,spirit,TRT,top,groundwater,March,8026
2019,3,spirit,CTL,top,groundwater,March,8027
2019,3,white,TRT,top,groundwater,March,8028
2019,3,white,TRT,bot,groundwater,March,8029
2019,3,white,CTL,bot,groundwater,March,8030
2019,3,worle,TRT,top,groundwater,March,8031
2019,3,worle,TRT,bot,groundwater,March,8032
2019,3,worle,CTL,bot,groundwater,March,8033
2019,3,guthrie,TRT,top,groundwater,March,8034
2019,3,guthrie,TRT,bot,groundwater,March,8035
2019,4,arm,TRT,top,groundwater,April,8036
2019,4,arm,TRT,bot,groundwater,April,8037
2019,4,arm,CTL,bot,groundwater,April,8038
2019,4,mcnay,CTL,bot,groundwater,April,8039
2019,4,mcnay,TRT,bot,groundwater,April,8040
2019,4,rhodes,TRT,top,groundwater,April,8041
2019,4,rhodes,TRT,bot,groundwater,April,8042
2019,4,rhodes,CTL,bot,groundwater,April,8043
2019,4,spirit,TRT,top,groundwater,April,8044
2019,4,spirit,TRT,bot,groundwater,April,8045
2019,4,spirit,CTL,bot,groundwater,April,8046
2019,4,spirit,CTL,top,groundwater,April,8047
2019,4,white,TRT,top,groundwater,April,8048
2019,4,white,CTL,bot,groundwater,April,8049
2019,4,worle,TRT,top,groundwater,April,8050
2019,4,worle,TRT,bot,groundwater,April,8051
2019,4,worle,CTL,bot,groundwater,April,8052
2019,5,arm,TRT,top,groundwater,May,8053
2019,5,arm,TRT,bot,groundwater,May,8054
2019,5,arm,CTL,bot,groundwater,May,8055
2019,5,mcnay,CTL,bot,groundwater,May,8056
2019,5,mcnay,TRT,bot,groundwater,May,8057
2019,5,rhodes,TRT,top,groundwater,May,8058
2019,5,rhodes,TRT,bot,groundwater,May,8059
2019,5,rhodes,CTL,bot,groundwater,May,8060
2019,5,spirit,TRT,top,groundwater,May,8061
2019,5,spirit,TRT,bot,groundwater,May,8062
2019,5,spirit,CTL,bot,groundwater,May,8063
2019,5,spirit,CTL,top,groundwater,May,8064
2019,5,white,TRT,top,groundwater,May,8065
2019,5,white,CTL,bot,groundwater,May,8066
2019,5,worle,TRT,top,groundwater,May,8067
2019,5,worle,TRT,bot,groundwater,May,8068
2019,5,worle,CTL,bot,groundwater,May,8069
2019,6,arm,TRT,top,groundwater,June,8070
2019,6,arm,TRT,bot,groundwater,June,8071
2019,6,arm,CTL,bot,groundwater,June,8072
