"","year","month","site","trt","pos","uncorrected.depth..ft.","date.measured","wellid","order"
"1",2016,"Aug.","WOR","TRT","Top",6.91,"8/11/2016","WORTRTTop","Aug."
"2",2016,"Aug.","EIA","TRT","Bot",3.57,"8/8/2016","EIATRTBot","Aug."
"3",2016,"Aug.","EIA","TRT","Top",4.4,"8/8/2016","EIATRTTop","Aug."
"4",2016,"Aug.","EIA","CTL","Bot",4.11,"8/8/2016","EIACTLBot","Aug."
"5",2016,"Aug.","RHO","TRT","Top",3.32,"8/8/2016","RHOTRTTop","Aug."
"6",2016,"Aug.","RHO","TRT","Bot",2.74,"8/8/2016","RHOTRTBot","Aug."
"7",2016,"Aug.","RHO","CTL","Bot",2.23,"8/8/2016","RHOCTLBot","Aug."
"8",2016,"Aug.","WOR","TRT","Bot",6.45,"8/10/2016","WORTRTBot","Aug."
"9",2016,"Aug.","WOR","CTL","Bot",4.55,"8/10/2016","WORCTLBot","Aug."
"10",2016,"Aug.","ARM","TRT","Top",4.85,"8/10/2016","ARMTRTTop","Aug."
"11",2016,"Aug.","ARM","TRT","Bot",5.1,"8/10/2016","ARMTRTBot","Aug."
"12",2016,"Aug.","ARM","CTL","Bot",6.55,"8/10/2016","ARMCTLBot","Aug."
"13",2016,"July","ARM","TRT","Top",4.22,"7/21/2016","ARMTRTTop","July"
"14",2016,"July","ARM","TRT","Bot",4.45,"7/21/2016","ARMTRTBot","July"
"15",2016,"July","ARM","CTL","Bot",0.66,"7/21/2016","ARMCTLBot","July"
"16",2016,"July","RHO","TRT","Top",2.37,"7/20/2016","RHOTRTTop","July"
"17",2016,"July","RHO","TRT","Bot",1.41,"7/20/2016","RHOTRTBot","July"
"18",2016,"July","RHO","CTL","Bot",0.58,"7/20/2016","RHOCTLBot","July"
"19",2016,"July","WOR","TRT","Bot",5.98,"7/20/2016","WORTRTBot","July"
"20",2016,"July","WOR","TRT","Top",6.65,"7/20/2016","WORTRTTop","July"
"21",2016,"July","WOR","CTL","Bot",3.62,"7/20/2016","WORCTLBot","July"
"22",2016,"July","EIA","TRT","Bot",3.72,"7/18/2016","EIATRTBot","July"
"23",2016,"July","EIA","TRT","Top",2.8,"7/18/2016","EIATRTTop","July"
"24",2016,"July","EIA","CTL","Bot",3.94,"7/18/2016","EIACTLBot","July"
"25",2016,"June","GUT","TRT","Top",3.92,"6/20/2016","GUTTRTTop","June"
"26",2016,"June","GUT","TRT","Bot",4.62,"6/20/2016","GUTTRTBot","June"
"27",2016,"June","EIA","TRT","Bot",3.9,"6/20/2016","EIATRTBot","June"
"28",2016,"June","EIA","TRT","Top",2.74,"6/20/2016","EIATRTTop","June"
"29",2016,"June","EIA","CTL","Bot",3.92,"6/20/2016","EIACTLBot","June"
"30",2016,"June","RHO","TRT","Top",2.83,"6/20/2016","RHOTRTTop","June"
"31",2016,"June","RHO","TRT","Bot",2.82,"6/20/2016","RHOTRTBot","June"
"32",2016,"June","RHO","CTL","Bot",1.74,"6/20/2016","RHOCTLBot","June"
"33",2016,"June","ARM","TRT","Top",3.95,"6/14/2016","ARMTRTTop","June"
"34",2016,"June","ARM","TRT","Bot",4.23,"6/14/2016","ARMTRTBot","June"
"35",2016,"June","ARM","CTL","Bot",1.82,"6/14/2016","ARMCTLBot","June"
"36",2016,"June","WOR","TRT","Bot",5.41,"6/14/2016","WORTRTBot","June"
"37",2016,"June","WOR","TRT","Top",6.02,"6/14/2016","WORTRTTop","June"
"38",2016,"June","WOR","CTL","Bot",2.96,"6/14/2016","WORCTLBot","June"
"39",2016,"May","EIA","TRT","Bot",3.85,"5/16/2016","EIATRTBot","May"
"40",2016,"May","EIA","TRT","Top",1.24,"5/16/2016","EIATRTTop","May"
"41",2016,"May","EIA","CTL","Bot",3.76,"5/16/2016","EIACTLBot","May"
"42",2016,"May","RHO","TRT","Top",2.49,"5/16/2016","RHOTRTTop","May"
"43",2016,"May","RHO","TRT","Bot",2.39,"5/16/2016","RHOTRTBot","May"
"44",2016,"May","RHO","CTL","Bot",0.8,"5/16/2016","RHOCTLBot","May"
"45",2016,"May","WOR","TRT","Bot",5.5,"5/12/2016","WORTRTBot","May"
"46",2016,"May","WOR","TRT","Top",5.8,"5/12/2016","WORTRTTop","May"
"47",2016,"May","WOR","CTL","Bot",2.61,"5/12/2016","WORCTLBot","May"
"48",2016,"May","ARM","TRT","Top",2.47,"5/11/2016","ARMTRTTop","May"
"49",2016,"May","ARM","TRT","Bot",2.45,"5/11/2016","ARMTRTBot","May"
"50",2016,"May","ARM","CTL","Bot",0.51,"5/11/2016","ARMCTLBot","May"
"51",2016,"Apr.","WOR","TRT","Bot",5.47,"4/21/2016","WORTRTBot","Apr."
"52",2016,"Apr.","WOR","TRT","Top",6.45,"4/21/2016","WORTRTTop","Apr."
"53",2016,"Apr.","WOR","CTL","Bot",4.6,"4/21/2016","WORCTLBot","Apr."
"54",2016,"Apr.","EIA","TRT","Bot",NA,"4/20/2016","EIATRTBot","Apr."
"55",2016,"Apr.","EIA","TRT","Top",2.71,"4/20/2016","EIATRTTop","Apr."
"56",2016,"Apr.","EIA","CTL","Bot",7.23,"4/20/2016","EIACTLBot","Apr."
"57",2016,"Apr.","RHO","TRT","Top",2.35,"4/20/2016","RHOTRTTop","Apr."
"58",2016,"Apr.","RHO","TRT","Bot",2.22,"4/20/2016","RHOTRTBot","Apr."
"59",2016,"Apr.","RHO","CTL","Bot",0.94,"4/20/2016","RHOCTLBot","Apr."
"60",2016,"Apr.","ARM","CTL","Bot",3.49,"4/19/2016","ARMCTLBot","Apr."
"61",2016,"Apr.","ARM","TRT","Top",5.05,"4/19/2016","ARMTRTTop","Apr."
"62",2016,"Apr.","ARM","TRT","Bot",4.96,"4/19/2016","ARMTRTBot","Apr."
"63",2016,"Sept.","WOR","TRT","Top",6.63,"9/7/2016","WORTRTTop","Sept."
"64",2016,"Sept.","WOR","TRT","Bot",5.89,"9/7/2016","WORTRTBot","Sept."
"65",2016,"Sept.","WOR","CTL","Bot",3.68,"9/7/2016","WORCTLBot","Sept."
"66",2016,"Sept.","ARM","TRT","Top",6.27,"9/13/2016","ARMTRTTop","Sept."
"67",2016,"Sept.","ARM","TRT","Bot",6.47,"9/13/2016","ARMTRTBot","Sept."
"68",2016,"Sept.","ARM","CTL","Bot",9.66,"9/13/2016","ARMCTLBot","Sept."
"69",2016,"Sept.","EIA","TRT","Bot",3.33,"9/8/2016","EIATRTBot","Sept."
"70",2016,"Sept.","EIA","TRT","Top",1.68,"9/8/2016","EIATRTTop","Sept."
"71",2016,"Sept.","EIA","CTL","Bot",1.81,"9/8/2016","EIACTLBot","Sept."
"72",2016,"Sept.","RHO","TRT","Top",2.78,"9/12/2016","RHOTRTTop","Sept."
"73",2016,"Sept.","RHO","TRT","Bot",2.12,"9/12/2016","RHOTRTBot","Sept."
"74",2016,"Sept.","RHO","CTL","Bot",1.35,"9/12/2016","RHOCTLBot","Sept."
"75",2016,"Sept.","GUT","TRT","Top",3.63,"9/12/2016","GUTTRTTop","Sept."
"76",2016,"Sept.","GUT","TRT","Bot",3.74,"9/12/2016","GUTTRTBot","Sept."
"77",2016,"Oct.","WOR","TRT","Top",5.9,"10/13/2016","WORTRTTop","Oct."
"78",2016,"Oct.","WOR","TRT","Bot",5.37,"10/13/2016","WORTRTBot","Oct."
"79",2016,"Oct.","WOR","CTL","Bot",2.29,"10/13/2016","WORCTLBot","Oct."
"80",2016,"Oct.","ARM","TRT","Top",3.92,"10/13/2016","ARMTRTTop","Oct."
"81",2016,"Oct.","ARM","TRT","Bot",4.4,"10/13/2016","ARMTRTBot","Oct."
"82",2016,"Oct.","ARM","CTL","Bot",2.48,"10/13/2016","ARMCTLBot","Oct."
"83",2016,"Oct.","EIA","TRT","Bot",3.49,"10/18/2016","EIATRTBot","Oct."
"84",2016,"Oct.","EIA","TRT","Top",2.39,"10/18/2016","EIATRTTop","Oct."
"85",2016,"Oct.","EIA","CTL","Bot",3.74,"10/18/2016","EIACTLBot","Oct."
"86",2016,"Oct.","RHO","TRT","Top",2.52,"10/14/2016","RHOTRTTop","Oct."
