station,valid,p01m
CNC,8/31/2018 0:00,0
CNC,8/31/2018 0:10,0
CNC,8/31/2018 0:15,0
CNC,8/31/2018 0:20,0
CNC,8/31/2018 0:30,0
CNC,8/31/2018 0:35,0
CNC,8/31/2018 0:40,0
CNC,8/31/2018 0:50,0
CNC,8/31/2018 0:55,0
CNC,8/31/2018 1:00,0
CNC,8/31/2018 1:10,0
CNC,8/31/2018 1:15,0
CNC,8/31/2018 1:20,0
CNC,8/31/2018 1:30,0
CNC,8/31/2018 1:35,0
CNC,8/31/2018 1:40,0
CNC,8/31/2018 1:50,0
CNC,8/31/2018 1:55,0
CNC,8/31/2018 2:00,0
CNC,8/31/2018 2:10,0
CNC,8/31/2018 2:15,0
CNC,8/31/2018 2:20,0
CNC,8/31/2018 2:30,0
CNC,8/31/2018 2:35,0
CNC,8/31/2018 2:40,0
CNC,8/31/2018 2:50,0
CNC,8/31/2018 2:55,0
CNC,8/31/2018 3:00,0
CNC,8/31/2018 3:10,0
CNC,8/31/2018 3:15,0
CNC,8/31/2018 3:20,0
CNC,8/31/2018 3:30,0
CNC,8/31/2018 3:35,0
CNC,8/31/2018 3:40,0
CNC,8/31/2018 3:50,0
CNC,8/31/2018 3:55,0
CNC,8/31/2018 4:00,0
CNC,8/31/2018 4:10,0
CNC,8/31/2018 4:15,0
CNC,8/31/2018 4:20,0
CNC,8/31/2018 4:30,0
CNC,8/31/2018 4:35,0
CNC,8/31/2018 4:40,0
CNC,8/31/2018 4:50,0
CNC,8/31/2018 4:55,0.51
CNC,8/31/2018 5:00,0
CNC,8/31/2018 5:10,0
CNC,8/31/2018 5:15,0
CNC,8/31/2018 5:20,0
CNC,8/31/2018 5:30,0
CNC,8/31/2018 5:35,0
CNC,8/31/2018 5:40,0
CNC,8/31/2018 5:50,0
CNC,8/31/2018 5:55,7.62
CNC,8/31/2018 6:00,0
CNC,8/31/2018 6:10,0
CNC,8/31/2018 6:15,0
CNC,8/31/2018 6:20,0
CNC,8/31/2018 6:30,0
CNC,8/31/2018 6:35,0
CNC,8/31/2018 6:40,0
CNC,8/31/2018 6:50,0
CNC,8/31/2018 6:55,3.56
CNC,8/31/2018 7:00,0
CNC,8/31/2018 7:10,0
CNC,8/31/2018 7:15,0
CNC,8/31/2018 7:20,0
CNC,8/31/2018 7:30,0
CNC,8/31/2018 7:35,0
CNC,8/31/2018 7:40,0
CNC,8/31/2018 7:50,0
CNC,8/31/2018 7:55,1.27
CNC,8/31/2018 8:00,0
CNC,8/31/2018 8:10,0
CNC,8/31/2018 8:15,0
CNC,8/31/2018 8:20,0
CNC,8/31/2018 8:30,0
CNC,8/31/2018 8:35,0
CNC,8/31/2018 8:40,0
CNC,8/31/2018 8:50,0
CNC,8/31/2018 8:55,0.25
CNC,8/31/2018 9:00,0
CNC,8/31/2018 9:10,0
CNC,8/31/2018 9:15,0
CNC,8/31/2018 9:20,0
CNC,8/31/2018 9:30,0
CNC,8/31/2018 9:35,0
CNC,8/31/2018 9:40,0
CNC,8/31/2018 9:50,0
CNC,8/31/2018 9:55,0.25
CNC,8/31/2018 10:00,0
CNC,8/31/2018 10:10,0
CNC,8/31/2018 10:15,0
CNC,8/31/2018 10:20,0
CNC,8/31/2018 10:30,0
CNC,8/31/2018 10:35,0
CNC,8/31/2018 10:40,0
CNC,8/31/2018 10:50,0
CNC,8/31/2018 10:55,0
CNC,8/31/2018 11:00,0
CNC,8/31/2018 11:10,0
CNC,8/31/2018 11:15,0
CNC,8/31/2018 11:20,0
CNC,8/31/2018 11:30,0
CNC,8/31/2018 11:35,0
CNC,8/31/2018 11:40,0
CNC,8/31/2018 11:50,0
CNC,8/31/2018 11:55,0
CNC,8/31/2018 12:00,0
CNC,8/31/2018 12:10,0
CNC,8/31/2018 12:15,0
CNC,8/31/2018 12:20,0
CNC,8/31/2018 12:30,0
CNC,8/31/2018 12:35,0
CNC,8/31/2018 12:40,0
CNC,8/31/2018 12:50,0
CNC,8/31/2018 12:55,0
CNC,8/31/2018 13:00,0
CNC,8/31/2018 13:10,0
CNC,8/31/2018 13:15,0
CNC,8/31/2018 13:20,0
CNC,8/31/2018 13:30,0
CNC,8/31/2018 13:35,0
CNC,8/31/2018 13:40,0
CNC,8/31/2018 13:50,0
CNC,8/31/2018 13:55,0
CNC,8/31/2018 14:00,0
CNC,8/31/2018 14:10,0
CNC,8/31/2018 14:15,0
CNC,8/31/2018 14:20,0
CNC,8/31/2018 14:30,0
CNC,8/31/2018 14:35,0
CNC,8/31/2018 14:40,0
CNC,8/31/2018 14:50,0
CNC,8/31/2018 14:55,0
CNC,8/31/2018 15:00,0
CNC,8/31/2018 15:10,0
CNC,8/31/2018 15:15,0
CNC,8/31/2018 15:20,0
CNC,8/31/2018 15:30,0
CNC,8/31/2018 15:35,0
CNC,8/31/2018 15:40,0
CNC,8/31/2018 15:50,0
CNC,8/31/2018 15:55,0
CNC,8/31/2018 16:00,0
CNC,8/31/2018 16:10,0
CNC,8/31/2018 16:15,0
CNC,8/31/2018 16:20,0
CNC,8/31/2018 16:30,0
CNC,8/31/2018 16:35,0
CNC,8/31/2018 16:40,0
CNC,8/31/2018 16:50,0
CNC,8/31/2018 16:55,3.56
CNC,8/31/2018 17:00,0
CNC,8/31/2018 17:10,0
CNC,8/31/2018 17:15,0
CNC,8/31/2018 17:20,0
CNC,8/31/2018 17:30,0
CNC,8/31/2018 17:35,0
CNC,8/31/2018 17:40,0
CNC,8/31/2018 17:50,0
CNC,8/31/2018 17:55,0
CNC,8/31/2018 18:00,0
CNC,8/31/2018 18:10,0
CNC,8/31/2018 18:15,0
CNC,8/31/2018 18:20,0
CNC,8/31/2018 18:30,0
CNC,8/31/2018 18:35,0
CNC,8/31/2018 18:40,0
CNC,8/31/2018 18:50,0
CNC,8/31/2018 18:55,0
CNC,8/31/2018 19:00,0
CNC,8/31/2018 19:10,0
CNC,8/31/2018 19:15,0
CNC,8/31/2018 19:20,0
CNC,8/31/2018 19:30,0
CNC,8/31/2018 19:35,0
CNC,8/31/2018 19:40,0
CNC,8/31/2018 19:50,0
CNC,8/31/2018 19:55,0
CNC,8/31/2018 20:00,0
CNC,8/31/2018 20:10,0
CNC,8/31/2018 20:15,0
CNC,8/31/2018 20:20,0
CNC,8/31/2018 20:30,0
CNC,8/31/2018 20:35,0
CNC,8/31/2018 20:40,0
CNC,8/31/2018 20:50,0
CNC,8/31/2018 20:55,0
CNC,8/31/2018 21:00,0
CNC,8/31/2018 21:10,0
CNC,8/31/2018 21:15,0
CNC,8/31/2018 21:20,0
CNC,8/31/2018 21:30,0
CNC,8/31/2018 21:35,0
CNC,8/31/2018 21:40,0
CNC,8/31/2018 21:50,0
CNC,8/31/2018 21:55,0
