station,valid,p01m
EST,4/27/2019 0:00,M
EST,4/27/2019 0:10,M
EST,4/27/2019 0:15,M
EST,4/27/2019 0:20,M
EST,4/27/2019 0:30,M
EST,4/27/2019 0:35,M
EST,4/27/2019 0:40,M
EST,4/27/2019 0:45,M
EST,4/27/2019 0:52,0
EST,4/27/2019 1:00,M
EST,4/27/2019 1:05,M
EST,4/27/2019 1:15,M
EST,4/27/2019 1:20,M
EST,4/27/2019 1:25,M
EST,4/27/2019 1:30,M
EST,4/27/2019 1:40,M
EST,4/27/2019 1:45,M
EST,4/27/2019 1:50,M
EST,4/27/2019 1:52,0
EST,4/27/2019 1:55,M
EST,4/27/2019 2:05,M
EST,4/27/2019 2:10,M
EST,4/27/2019 2:15,M
EST,4/27/2019 2:20,M
EST,4/27/2019 2:30,M
EST,4/27/2019 2:35,M
EST,4/27/2019 2:40,M
EST,4/27/2019 2:50,M
EST,4/27/2019 2:52,0
EST,4/27/2019 2:55,M
EST,4/27/2019 3:00,M
EST,4/27/2019 3:05,M
EST,4/27/2019 3:10,M
EST,4/27/2019 3:15,M
EST,4/27/2019 3:20,M
EST,4/27/2019 3:25,M
EST,4/27/2019 3:35,M
EST,4/27/2019 3:40,M
EST,4/27/2019 3:50,M
EST,4/27/2019 3:52,0
EST,4/27/2019 3:55,M
EST,4/27/2019 4:00,M
EST,4/27/2019 4:10,M
EST,4/27/2019 4:15,M
EST,4/27/2019 4:20,M
EST,4/27/2019 4:25,M
EST,4/27/2019 4:30,M
EST,4/27/2019 4:35,M
EST,4/27/2019 4:40,M
EST,4/27/2019 4:50,M
EST,4/27/2019 4:52,0
EST,4/27/2019 4:55,M
EST,4/27/2019 5:00,M
EST,4/27/2019 5:10,M
EST,4/27/2019 5:15,M
EST,4/27/2019 5:20,M
EST,4/27/2019 5:30,M
EST,4/27/2019 5:35,M
EST,4/27/2019 5:45,M
EST,4/27/2019 5:50,M
EST,4/27/2019 5:52,0
EST,4/27/2019 5:55,M
EST,4/27/2019 6:05,M
EST,4/27/2019 6:10,M
EST,4/27/2019 6:15,M
EST,4/27/2019 6:20,M
EST,4/27/2019 6:30,M
EST,4/27/2019 6:35,M
EST,4/27/2019 6:40,M
EST,4/27/2019 6:50,0.25
EST,4/27/2019 6:52,0.25
EST,4/27/2019 6:55,M
EST,4/27/2019 7:05,M
EST,4/27/2019 7:10,0.25
EST,4/27/2019 7:15,0.25
EST,4/27/2019 7:20,0.25
EST,4/27/2019 7:30,0.51
EST,4/27/2019 7:35,0.51
EST,4/27/2019 7:40,0.51
EST,4/27/2019 7:45,0.76
EST,4/27/2019 7:52,1.02
EST,4/27/2019 7:55,M
EST,4/27/2019 8:00,0.25
EST,4/27/2019 8:05,0.51
EST,4/27/2019 8:10,1.02
EST,4/27/2019 8:14,1.52
EST,4/27/2019 8:20,2.03
EST,4/27/2019 8:25,2.29
EST,4/27/2019 8:30,2.79
EST,4/27/2019 8:40,3.81
EST,4/27/2019 8:45,4.06
EST,4/27/2019 8:50,4.32
EST,4/27/2019 8:52,4.57
EST,4/27/2019 8:55,M
EST,4/27/2019 9:00,0.25
EST,4/27/2019 9:05,0.25
EST,4/27/2019 9:10,0.51
EST,4/27/2019 9:15,0.76
EST,4/27/2019 9:25,1.27
EST,4/27/2019 9:30,1.52
EST,4/27/2019 9:35,1.78
EST,4/27/2019 9:45,2.29
EST,4/27/2019 9:50,2.54
