"watershed","treatment","subtreatment"
"armctl","control","control"
"armtrt","treatment","prairie strip"
"eiactl","control","control"
"eiatrt","treatment","prairie strip"
"marshctl","control","control"
"marshtrt","treatment","grass strip"
"mcnayctl","control","control"
"mcnaytrt","treatment","prairie strip"
"rhodesctl","control","control"
"rhodestrt","treatment","prairie strip"
"spiritctl","control","control"
"spirittrt","treatment","prairie strip"
"whitectl","control","control"
"whitetrt","treatment","prairie strip"
"worlectl","control","control"
"worletrt","treatment","prairie strip"
